dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.331881,17.464701,0.001143,0.114286,5.714286,285.714286,6.257241
0.020000,1.331881,17.464701,0.005714,0.342857,11.428571,285.714286,6.257301
0.020000,1.340078,17.464489,0.016000,0.685714,17.142857,285.714286,6.257438
0.020000,1.358357,17.464020,0.034286,1.142857,22.857143,285.714286,6.257679
0.020000,1.386920,17.463297,0.062857,1.714286,28.571429,285.714286,6.258055
0.020000,1.426907,17.462302,0.102857,2.285714,28.571429,0.000000,6.258577
0.020000,1.478321,17.461054,0.154286,2.857143,28.571429,0.000000,6.259243
0.020000,1.540018,17.459601,0.216000,3.314286,22.857143,-285.714286,6.260033
0.020000,1.609714,17.458018,0.285714,3.657143,17.142857,-285.714286,6.260914
0.020000,1.685125,17.456374,0.361143,3.885714,11.428571,-285.714286,6.261853
0.020000,1.763965,17.454730,0.440000,4.000000,5.714286,-285.714286,6.262820
0.020000,1.843949,17.453140,0.520000,4.000000,0.000000,-285.714286,6.263784
0.020000,1.923935,17.451626,0.600000,4.000000,0.000000,0.000000,6.264732
0.020000,2.003922,17.450187,0.680000,4.000000,0.000000,0.000000,6.265664
0.020000,2.083910,17.448822,0.760000,4.000000,0.000000,0.000000,6.266579
0.020000,2.163900,17.447530,0.840000,4.000000,0.000000,0.000000,6.267479
0.020000,2.243890,17.446308,0.920000,4.000000,0.000000,0.000000,6.268362
0.020000,2.323882,17.445157,1.000000,4.000000,0.000000,0.000000,6.269228
0.020000,2.403875,17.444075,1.080000,4.000000,0.000000,0.000000,6.270079
0.020000,2.483868,17.443060,1.160000,4.000000,0.000000,0.000000,6.270913
0.020000,2.563863,17.442111,1.240000,4.000000,0.000000,0.000000,6.271730
0.020000,2.643858,17.441227,1.320000,4.000000,0.000000,0.000000,6.272532
0.020000,2.723853,17.440406,1.400000,4.000000,0.000000,0.000000,6.273317
0.020000,2.803850,17.439647,1.480000,4.000000,0.000000,0.000000,6.274086
0.020000,2.883847,17.438950,1.560000,4.000000,0.000000,0.000000,6.274838
0.020000,2.963844,17.438312,1.640000,4.000000,0.000000,0.000000,6.275575
0.020000,3.043842,17.437732,1.720000,4.000000,0.000000,0.000000,6.276295
0.020000,3.123840,17.437209,1.800000,4.000000,0.000000,0.000000,6.276998
0.020000,3.203839,17.436741,1.880000,4.000000,0.000000,0.000000,6.277685
0.020000,3.283838,17.436328,1.960000,4.000000,0.000000,0.000000,6.278356
