dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.635780,16.518283,0.001143,0.114286,5.714286,285.714286,0.000176
0.020000,0.635680,16.518283,0.001243,0.004991,-5.464715,-558.950042,0.000065
0.020000,0.643042,16.518283,0.008604,0.368083,18.154566,1180.964079,6.283002
0.020000,0.660930,16.518275,0.026493,0.894415,26.316605,408.101925,6.282560
0.020000,0.688884,16.518248,0.054446,1.397683,25.163421,-57.659212,6.281874
0.020000,0.728025,16.518178,0.093588,1.957083,27.970011,140.329501,6.280920
0.020000,0.778361,16.518034,0.143924,2.516812,27.986430,0.820957,6.279706
0.020000,0.838781,16.517780,0.204344,3.021009,25.209855,-138.828765,6.278268
0.020000,0.907054,16.517389,0.272619,3.413718,19.635425,-278.721486,6.276668
0.020000,0.980949,16.516845,0.346516,3.694842,14.056232,-278.959650,6.274967
0.020000,1.058231,16.516142,0.423801,3.864249,8.470319,-279.295624,6.273220
0.020000,1.136662,16.515292,0.502236,3.921777,2.876440,-279.693957,6.271481
0.020000,1.215122,16.514306,0.580702,3.923315,0.076900,-139.977026,6.269777
0.020000,1.293611,16.513188,0.659200,3.924855,0.076954,0.002727,6.268107
0.020000,1.372129,16.511940,0.737727,3.926395,0.077031,0.003856,6.266472
0.020000,1.450676,16.510564,0.816286,3.927937,0.077075,0.002168,6.264870
0.020000,1.529251,16.509063,0.894876,3.929480,0.077144,0.003468,6.263303
0.020000,1.607855,16.507439,0.973496,3.931023,0.077178,0.001698,6.261770
0.020000,1.686487,16.505696,1.052148,3.932568,0.077239,0.003071,6.260272
0.020000,1.765147,16.503835,1.130830,3.934113,0.077266,0.001314,6.258808
0.020000,1.843835,16.501860,1.209543,3.935660,0.077319,0.002668,6.257378
0.020000,1.922552,16.499773,1.288287,3.937206,0.077339,0.001009,6.255983
0.020000,2.001296,16.497577,1.367062,3.938754,0.077385,0.002262,6.254622
0.020000,2.080069,16.495273,1.445868,3.940302,0.077400,0.000777,6.253295
0.020000,2.158869,16.492866,1.524705,3.941851,0.077437,0.001859,6.252003
0.020000,2.237697,16.490357,1.603573,3.943400,0.077450,0.000612,6.250745
0.020000,2.316553,16.487750,1.682472,3.944949,0.077479,0.001455,6.249522
0.020000,2.395437,16.485046,1.761402,3.946499,0.077489,0.000520,6.248333
0.020000,2.474348,16.482249,1.840363,3.948049,0.077510,0.001031,6.247178
0.020000,2.553287,16.479361,1.919355,3.949600,0.077519,0.000488,6.246058
0.020000,2.632254,16.476385,1.998378,3.951150,0.077533,0.000669,6.244973
0.020000,2.711249,16.473323,2.077432,3.952701,0.077541,0.000426,6.243922
0.020000,2.790271,16.470178,2.156517,3.954252,0.077549,0.000390,6.242905
0.020000,2.869322,16.466953,2.235633,3.955803,0.077556,0.000343,6.241923
0.020000,2.948400,16.463650,2.314780,3.957355,0.077560,0.000182,6.240975
0.020000,3.027506,16.460273,2.393959,3.958906,0.077565,0.000246,6.240062
0.020000,3.106640,16.456823,2.473168,3.960457,0.077565,0.000034,6.239183
0.020000,3.185802,16.453304,2.552408,3.962009,0.077568,0.000143,6.238339
0.020000,3.264992,16.449718,2.631679,3.963560,0.077567,-0.000064,6.237529
0.020000,3.344210,16.446068,2.710981,3.965111,0.077568,0.000040,6.236754
0.020000,3.423456,16.442356,2.790315,3.966662,0.077565,-0.000121,6.236013
0.020000,3.502731,16.438585,2.869679,3.968214,0.077564,-0.000058,6.235307
0.020000,3.582034,16.434758,2.949074,3.969765,0.077561,-0.000146,6.234635
0.020000,3.661366,16.430878,3.028500,3.971316,0.077558,-0.000145,6.233998
0.020000,3.740726,16.426947,3.107958,3.972867,0.077555,-0.000147,6.233395
0.020000,3.820114,16.422968,3.187446,3.974418,0.077551,-0.000219,6.232826
0.020000,3.899532,16.418944,3.266966,3.975969,0.077548,-0.000132,6.232292
0.020000,3.978978,16.414877,3.346516,3.977520,0.077543,-0.000275,6.231793
0.020000,4.058454,16.410770,3.426097,3.979071,0.077541,-0.000105,6.231327
0.020000,4.137958,16.406626,3.505710,3.980622,0.077534,-0.000311,6.230897
0.020000,4.217492,16.402448,3.585353,3.982172,0.077533,-0.000074,6.230501
0.020000,4.297055,16.398238,3.665028,3.983723,0.077526,-0.000326,6.230139
0.020000,4.376648,16.393998,3.744733,3.985273,0.077526,-0.000043,6.229812
0.020000,4.456270,16.389733,3.824470,3.986824,0.077519,-0.000319,6.229519
0.020000,4.535922,16.385443,3.904237,3.988374,0.077519,-0.000015,6.229261
0.020000,4.615604,16.381133,3.984036,3.989924,0.077513,-0.000290,6.229037
0.020000,4.695316,16.376805,4.063865,3.991475,0.077513,0.000006,6.228847
0.020000,4.775058,16.372461,4.143726,3.993025,0.077508,-0.000239,6.228692
0.020000,4.854831,16.368105,4.223617,3.994575,0.077509,0.000017,6.228572
0.020000,4.934634,16.363738,4.303540,3.996125,0.077505,-0.000168,6.228485
0.020000,5.014468,16.359365,4.383493,3.997675,0.077506,0.000016,6.228434
0.020000,5.094333,16.354987,4.463478,3.999225,0.077504,-0.000076,6.228417
0.020000,5.174228,16.350607,4.543493,4.000775,0.077504,0.000004,6.228434
0.020000,5.254155,16.346228,4.623540,4.002325,0.077505,0.000022,6.228486
0.020000,5.334113,16.341853,4.703617,4.003876,0.077505,-0.000006,6.228572
0.020000,5.414102,16.337485,4.783726,4.005426,0.077507,0.000110,6.228692
0.020000,5.494123,16.333126,4.863865,4.006976,0.077507,-0.000002,6.228847
0.020000,5.574175,16.328779,4.944036,4.008526,0.077510,0.000181,6.229037
0.020000,5.654260,16.324448,5.024237,4.010076,0.077511,0.000013,6.229261
0.020000,5.734376,16.320133,5.104470,4.011627,0.077515,0.000233,6.229519
0.020000,5.814525,16.315839,5.184733,4.013177,0.077516,0.000038,6.229812
0.020000,5.894706,16.311569,5.265028,4.014727,0.077521,0.000265,6.230139
0.020000,5.974919,16.307324,5.345353,4.016278,0.077523,0.000070,6.230501
0.020000,6.055165,16.303108,5.425710,4.017828,0.077528,0.000275,6.230897
0.020000,6.135444,16.298924,5.506098,4.019379,0.077530,0.000107,6.231328
0.020000,6.215755,16.294774,5.586516,4.020930,0.077536,0.000265,6.231793
0.020000,6.296100,16.290661,5.666966,4.022480,0.077539,0.000144,6.232292
0.020000,6.376477,16.286588,5.747446,4.024031,0.077543,0.000235,6.232826
0.020000,6.456888,16.282558,5.827958,4.025582,0.077547,0.000178,6.233395
0.020000,6.537332,16.278573,5.908501,4.027133,0.077551,0.000186,6.233998
0.020000,6.617809,16.274637,5.989074,4.028684,0.077555,0.000201,6.234635
0.020000,6.698320,16.270752,6.069679,4.030235,0.077557,0.000120,6.235307
0.020000,6.778865,16.266921,6.150315,4.031787,0.077561,0.000209,6.236013
0.020000,6.859443,16.263147,6.230982,4.033338,0.077562,0.000041,6.236754
0.020000,6.940056,16.259432,6.311679,4.034889,0.077566,0.000193,6.237530
0.020000,7.020702,16.255780,6.392408,4.036440,0.077565,-0.000048,6.238339
0.020000,7.101382,16.252194,6.473168,4.037992,0.077568,0.000147,6.239184
0.020000,7.182096,16.248675,6.553959,4.039543,0.077565,-0.000142,6.240062
0.020000,7.262844,16.245228,6.634781,4.041094,0.077566,0.000062,6.240976
0.020000,7.343627,16.241854,6.715634,4.042646,0.077561,-0.000234,6.241923
