dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.517235,18.318283,0.001143,0.114286,5.714286,285.714286,0.000351
0.020000,1.517418,18.318283,0.001326,0.009170,-5.255798,-548.504209,0.000147
0.020000,1.524819,18.318282,0.008727,0.370027,18.042842,1164.932045,6.282875
0.020000,1.543832,18.318268,0.027740,0.950664,29.031849,549.450326,6.282066
0.020000,1.573530,18.318217,0.057438,1.484904,26.712020,-115.991436,6.280815
0.020000,1.615086,18.318082,0.098995,2.077823,29.645969,146.697456,6.279085
0.020000,1.668480,18.317805,0.152389,2.669703,29.594000,-2.598460,6.276901
0.020000,1.732498,18.317320,0.216409,3.200993,26.564492,-151.475423,6.274340
0.020000,1.804743,18.316579,0.288658,3.612458,20.573249,-299.562135,6.271523
0.020000,1.882824,18.315552,0.366746,3.904408,14.597481,-298.788411,6.268568
0.020000,1.964359,18.314238,0.448291,4.077265,8.642849,-297.731608,6.265581
0.020000,2.046975,18.312662,0.530922,4.131537,2.713614,-296.461706,6.262658
0.020000,2.129489,18.310851,0.613456,4.126687,-0.242507,-147.806085,6.259843
0.020000,2.211900,18.308814,0.695892,4.121840,-0.242334,0.008677,6.257135
0.020000,2.294209,18.306562,0.778232,4.116997,-0.242138,0.009771,6.254535
0.020000,2.376416,18.304103,0.860476,4.112159,-0.241924,0.010695,6.252043
0.020000,2.458519,18.301446,0.942622,4.107325,-0.241695,0.011457,6.249658
0.020000,2.540520,18.298602,1.024672,4.102495,-0.241491,0.010190,6.247380
0.020000,2.622418,18.295578,1.106625,4.097671,-0.241213,0.013898,6.245209
0.020000,2.704212,18.292385,1.188482,4.092852,-0.240945,0.013427,6.243146
0.020000,2.785904,18.289032,1.270243,4.088038,-0.240684,0.013060,6.241190
0.020000,2.867494,18.285527,1.351908,4.083230,-0.240421,0.013116,6.239340
0.020000,2.948981,18.281880,1.433476,4.078427,-0.240160,0.013054,6.237597
0.020000,3.030366,18.278100,1.514949,4.073629,-0.239903,0.012879,6.235961
0.020000,3.111648,18.274196,1.596326,4.068835,-0.239675,0.011406,6.234431
0.020000,3.192830,18.270176,1.677607,4.064047,-0.239420,0.012736,6.233008
0.020000,3.273910,18.266050,1.758792,4.059264,-0.239166,0.012675,6.231691
0.020000,3.354890,18.261826,1.839882,4.054485,-0.238942,0.011227,6.230480
0.020000,3.435769,18.257514,1.920876,4.049710,-0.238730,0.010595,6.229376
0.020000,3.516549,18.253122,2.001775,4.044939,-0.238532,0.009892,6.228377
0.020000,3.597229,18.248659,2.082578,4.040172,-0.238350,0.009125,6.227484
0.020000,3.677810,18.244133,2.163286,4.035408,-0.238201,0.007449,6.226697
0.020000,3.758293,18.239554,2.243899,4.030648,-0.238036,0.008250,6.226016
0.020000,3.838678,18.234930,2.324417,4.025890,-0.237898,0.006864,6.225441
0.020000,3.918965,18.230269,2.404840,4.021134,-0.237787,0.005556,6.224971
0.020000,3.999156,18.225580,2.485167,4.016380,-0.237696,0.004562,6.224607
0.020000,4.079250,18.220872,2.565400,4.011628,-0.237625,0.003542,6.224349
0.020000,4.159249,18.216152,2.645537,4.006876,-0.237575,0.002491,6.224196
0.020000,4.239152,18.211431,2.725580,4.002125,-0.237545,0.001496,6.224149
0.020000,4.318960,18.206715,2.805527,3.997375,-0.237531,0.000703,6.224207
0.020000,4.398674,18.202014,2.885380,3.992624,-0.237545,-0.000678,6.224371
0.020000,4.478294,18.197336,2.965137,3.987872,-0.237580,-0.001739,6.224641
0.020000,4.557821,18.192689,3.044800,3.983119,-0.237635,-0.002789,6.225016
0.020000,4.637255,18.188082,3.124367,3.978365,-0.237712,-0.003822,6.225497
0.020000,4.716596,18.183523,3.203839,3.973609,-0.237800,-0.004405,6.226083
0.020000,4.795845,18.179019,3.283216,3.968851,-0.237909,-0.005440,6.226775
0.020000,4.875003,18.174580,3.362498,3.964090,-0.238054,-0.007264,6.227573
0.020000,4.954069,18.170214,3.441684,3.959326,-0.238208,-0.007684,6.228477
0.020000,5.033044,18.165928,3.520775,3.954558,-0.238379,-0.008544,6.229487
0.020000,5.111928,18.161731,3.599771,3.949787,-0.238566,-0.009351,6.230603
0.020000,5.190721,18.157632,3.678671,3.945011,-0.238768,-0.010096,6.231825
0.020000,5.269425,18.153638,3.757476,3.940232,-0.238958,-0.009537,6.233153
0.020000,5.348038,18.149757,3.836185,3.935448,-0.239194,-0.011787,6.234587
0.020000,5.426561,18.145998,3.914798,3.930659,-0.239445,-0.012569,6.236128
0.020000,5.504995,18.142369,3.993316,3.925866,-0.239693,-0.012381,6.237776
0.020000,5.583338,18.138877,4.071737,3.921067,-0.239948,-0.012731,6.239530
0.020000,5.661592,18.135531,4.150062,3.916263,-0.240207,-0.012980,6.241391
0.020000,5.739756,18.132338,4.228291,3.911453,-0.240470,-0.013123,6.243358
0.020000,5.817830,18.129307,4.306424,3.906639,-0.240706,-0.011812,6.245433
0.020000,5.895814,18.126446,4.384460,3.901820,-0.240974,-0.013405,6.247615
0.020000,5.973707,18.123763,4.462400,3.896995,-0.241251,-0.013835,6.249904
0.020000,6.051511,18.121265,4.540244,3.892164,-0.241501,-0.012530,6.252300
0.020000,6.129223,18.118961,4.617990,3.887330,-0.241742,-0.012035,6.254804
0.020000,6.206844,18.116858,4.695640,3.882490,-0.241970,-0.011392,6.257415
0.020000,6.284374,18.114964,4.773193,3.877647,-0.242182,-0.010592,6.260134
0.020000,6.361812,18.113288,4.850649,3.872799,-0.242372,-0.009500,6.262961
0.020000,6.439157,18.111836,4.928008,3.867949,-0.242507,-0.006737,6.265895
0.020000,6.516410,18.110617,5.005270,3.863095,-0.242691,-0.009245,6.268937
0.020000,6.593568,18.109639,5.082435,3.858239,-0.242806,-0.005728,6.272088
0.020000,6.670632,18.108908,5.159502,3.853381,-0.242887,-0.004038,6.275346
0.020000,6.747601,18.108434,5.236473,3.848523,-0.242930,-0.002149,6.278712
0.020000,6.824474,18.108223,5.313346,3.843664,-0.242931,-0.000054,6.282186
0.020000,6.901251,18.108283,5.390122,3.838806,-0.242886,0.002255,0.002583
0.020000,6.977929,18.108621,5.466801,3.833951,-0.242790,0.004792,0.006273
0.020000,7.054508,18.109246,5.543383,3.829098,-0.242622,0.008397,0.010070
0.020000,7.130988,18.110165,5.619868,3.824249,-0.242437,0.009240,0.013976
0.020000,7.207366,18.111385,5.696256,3.819406,-0.242163,0.013694,0.017989
0.020000,7.283642,18.112914,5.772548,3.814570,-0.241820,0.017157,0.022110
0.020000,7.359815,18.114759,5.848742,3.809742,-0.241403,0.020868,0.026338
0.020000,7.435882,18.116927,5.924841,3.804924,-0.240906,0.024830,0.030673
0.020000,7.511843,18.119426,6.000843,3.800117,-0.240325,0.029048,0.035114
0.020000,7.587697,18.122263,6.076750,3.795324,-0.239655,0.033524,0.039663
0.020000,7.663441,18.125444,6.152561,3.790546,-0.238906,0.037457,0.044317
0.020000,7.739074,18.128978,6.228276,3.785785,-0.238045,0.043003,0.049077
0.020000,7.814595,18.132871,6.303897,3.781044,-0.237070,0.048783,0.053943
0.020000,7.890001,18.137130,6.379424,3.776324,-0.235990,0.053970,0.058913
0.020000,7.965291,18.141761,6.454856,3.771628,-0.234795,0.059754,0.063988
0.020000,8.040464,18.146773,6.530195,3.766958,-0.233479,0.065800,0.069167
0.020000,8.115516,18.152171,6.605442,3.762318,-0.232037,0.072104,0.074449
0.020000,8.190447,18.157962,6.680596,3.757708,-0.230464,0.078662,0.079833
0.020000,8.265254,18.164153,6.755659,3.753132,-0.228822,0.082088,0.085319
0.020000,8.339935,18.170749,6.830630,3.748593,-0.226964,0.092909,0.090905
0.020000,8.414488,18.177758,6.905512,3.744094,-0.224937,0.101338,0.096592
0.020000,8.488911,18.185186,6.980305,3.739638,-0.222794,0.107176,0.102378
0.020000,8.563202,18.193039,7.055010,3.735228,-0.220496,0.114898,0.108261
0.020000,8.637358,18.201322,7.129627,3.730867,-0.218039,0.122827,0.114242
0.020000,8.711377,18.210043,7.204158,3.726559,-0.215420,0.130950,0.120318
0.020000,8.785257,18.219206,7.278604,3.722303,-0.212816,0.130233,0.126489
0.020000,8.858995,18.228817,7.352966,3.718107,-0.209785,0.151543,0.132753
0.020000,8.932590,18.238882,7.427246,3.713975,-0.206606,0.158924,0.139109
0.020000,9.006038,18.249407,7.501444,3.709908,-0.203310,0.164831,0.145556
0.020000,9.079337,18.260396,7.575562,3.705912,-0.199836,0.173679,0.152091
0.020000,9.152484,18.271855,7.649602,3.701987,-0.196224,0.180617,0.158713
0.020000,9.225478,18.283789,7.723565,3.698132,-0.192771,0.172655,0.165421
0.020000,9.298315,18.296203,7.797452,3.694364,-0.188416,0.217728,0.172213
0.020000,9.370993,18.309101,7.871265,3.690679,-0.184228,0.209416,0.179086
0.020000,9.443509,18.322489,7.945007,3.687082,-0.179858,0.218497,0.186040
0.020000,9.515861,18.336369,8.018678,3.683569,-0.175634,0.211198,0.193072
0.020000,9.588046,18.350748,8.092281,3.680149,-0.171019,0.230721,0.200179
0.020000,9.660061,18.365629,8.165818,3.676833,-0.165784,0.261781,0.207361
0.020000,9.731904,18.381015,8.239290,3.673619,-0.160706,0.253873,0.214613
0.020000,9.803573,18.396911,8.312700,3.670497,-0.156075,0.231550,0.221935
0.020000,9.875063,18.413321,8.386050,3.667487,-0.150542,0.276670,0.229324
0.020000,9.946374,18.430247,8.459342,3.664595,-0.144602,0.297011,0.236778
0.020000,10.017502,18.447693,8.532578,3.661809,-0.139280,0.266083,0.244293
0.020000,10.088444,18.465662,8.605761,3.659129,-0.133997,0.264170,0.251867
0.020000,10.159198,18.484157,8.678893,3.656587,-0.127099,0.344905,0.259499
0.020000,10.229762,18.503181,8.751976,3.654154,-0.121660,0.271911,0.267184
0.020000,10.293657,18.520887,8.818278,3.315140,-16.950715,-841.452729,0.270733
0.020000,10.381788,18.544748,8.909582,4.565188,62.502426,3972.657071,0.258173
0.020000,10.469745,18.567406,9.000411,4.541440,-1.187389,-3184.490795,0.246140
0.020000,10.557513,18.588916,9.090776,4.518273,-1.158373,1.450820,0.234623
0.020000,10.645076,18.609334,9.180689,4.495608,-1.133249,1.256183,0.223608
0.020000,10.732424,18.628711,9.270160,4.473586,-1.101078,1.608557,0.213084
0.020000,10.819546,18.647101,9.359202,4.452060,-1.076308,1.238526,0.203038
0.020000,10.906434,18.664552,9.447824,4.431149,-1.045540,1.538362,0.193456
0.020000,10.993081,18.681114,9.536040,4.410778,-1.018580,1.348047,0.184328
0.020000,11.079481,18.696832,9.623858,4.390915,-0.993151,1.271448,0.175640
0.020000,11.165631,18.711751,9.711291,4.371643,-0.963591,1.477970,0.167381
0.020000,11.251528,18.725915,9.798348,4.352823,-0.940977,1.130728,0.159541
0.020000,11.337168,18.739366,9.885038,4.334512,-0.915586,1.269550,0.152106
0.020000,11.422551,18.752145,9.971372,4.316704,-0.890369,1.260851,0.145069
0.020000,11.507676,18.764290,10.057359,4.299342,-0.868095,1.113664,0.138417
0.020000,11.592541,18.775838,10.143006,4.282360,-0.849109,0.949323,0.132142
0.020000,11.677148,18.786827,10.228323,4.265846,-0.825712,1.169859,0.126234
0.020000,11.761495,18.797291,10.313317,4.249719,-0.806369,0.967146,0.120684
0.020000,11.845585,18.807265,10.397996,4.233957,-0.788071,0.914866,0.115485
0.020000,11.929417,18.816781,10.482367,4.218541,-0.770827,0.862207,0.110629
0.020000,12.012993,18.825872,10.566436,4.203428,-0.755643,0.759196,0.106108
0.020000,12.096313,18.834567,10.650209,4.188638,-0.739475,0.808440,0.101916
0.020000,12.179379,18.842898,10.733691,4.174135,-0.725174,0.715019,0.098046
0.020000,12.262192,18.850893,10.816889,4.159891,-0.712171,0.650159,0.094493
0.020000,12.344753,18.858581,10.899807,4.145887,-0.700207,0.598215,0.091251
0.020000,12.427062,18.865988,10.982449,4.132102,-0.689273,0.546699,0.088316
0.020000,12.509121,18.873144,11.064819,4.118515,-0.679360,0.495642,0.085682
0.020000,12.590930,18.880072,11.146921,4.105105,-0.670459,0.445061,0.083346
0.020000,12.672490,18.886800,11.228758,4.091854,-0.662560,0.394953,0.081305
0.020000,12.753802,18.893352,11.310333,4.078741,-0.655654,0.345302,0.079556
0.020000,12.834864,18.899753,11.391648,4.065747,-0.649732,0.296078,0.078095
0.020000,12.915678,18.906027,11.472705,4.052851,-0.644787,0.247243,0.076920
0.020000,12.996243,18.912199,11.553506,4.040035,-0.640812,0.198748,0.076031
0.020000,13.076558,18.918291,11.634051,4.027279,-0.637801,0.150536,0.075424
0.020000,13.156622,18.924326,11.714343,4.014563,-0.635751,0.102543,0.075101
0.020000,13.236434,18.930328,11.794380,4.001870,-0.634657,0.054700,0.075059
0.020000,13.315992,18.936318,11.874164,3.989180,-0.634518,0.006934,0.075300
0.020000,13.395295,18.942320,11.953693,3.976473,-0.635335,-0.040832,0.075823
0.020000,13.474339,18.948355,12.032968,3.963732,-0.637086,-0.087557,0.076629
