dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.517866,16.518283,0.001143,0.114286,5.714286,285.714286,0.000351
0.020000,1.517682,16.518283,0.001326,0.009170,-5.255798,-548.504209,0.000147
0.020000,1.524260,16.518282,0.007904,0.328879,15.985438,1062.061846,6.282875
0.020000,1.541818,16.518270,0.025462,0.877908,27.451467,573.301416,6.282066
0.020000,1.569263,16.518222,0.052907,1.372239,24.716573,-136.744713,6.280815
0.020000,1.607706,16.518097,0.091350,1.922175,27.496783,139.010512,6.279085
0.020000,1.657168,16.517840,0.140813,2.473153,27.548922,2.606950,6.276901
0.020000,1.716575,16.517390,0.200222,2.970434,24.864032,-134.244472,6.274340
0.020000,1.783751,16.516701,0.267401,3.358967,19.426646,-271.869333,6.271523
0.020000,1.856514,16.515744,0.340170,3.638447,13.974023,-272.631123,6.268568
0.020000,1.932673,16.514517,0.416339,3.808446,8.499928,-273.704772,6.265581
0.020000,2.010028,16.513041,0.493708,3.868460,3.000681,-274.962318,6.262658
0.020000,2.087476,16.511341,0.571175,3.873310,0.242529,-137.907642,6.259843
0.020000,2.165015,16.509425,0.648738,3.878157,0.242356,-0.008636,6.257135
0.020000,2.242646,16.507301,0.726398,3.883001,0.242161,-0.009751,6.254535
0.020000,2.320368,16.504975,0.804155,3.887839,0.241947,-0.010697,6.252043
0.020000,2.398181,16.502458,0.882008,3.892674,0.241717,-0.011479,6.249658
0.020000,2.476084,16.499755,0.959958,3.897503,0.241440,-0.013889,6.247380
0.020000,2.554077,16.496876,1.038005,3.902327,0.241214,-0.011285,6.245209
0.020000,2.632161,16.493828,1.116148,3.907146,0.240967,-0.012363,6.243146
0.020000,2.710334,16.490619,1.194387,3.911960,0.240705,-0.013089,6.241190
0.020000,2.788597,16.487257,1.272722,3.916769,0.240441,-0.013166,6.239340
0.020000,2.866950,16.483750,1.351154,3.921573,0.240179,-0.013124,6.237597
0.020000,2.945393,16.480107,1.429681,3.926371,0.239920,-0.012969,6.235961
0.020000,3.023926,16.476335,1.508304,3.931164,0.239642,-0.013863,6.234431
0.020000,3.102549,16.472442,1.587023,3.935952,0.239405,-0.011858,6.233008
0.020000,3.181262,16.468436,1.665838,3.940736,0.239185,-0.011004,6.231691
0.020000,3.260065,16.464326,1.744748,3.945515,0.238958,-0.011331,6.230480
0.020000,3.338959,16.460120,1.823754,3.950290,0.238744,-0.010716,6.229376
0.020000,3.417943,16.455825,1.902855,3.955061,0.238544,-0.010028,6.228377
0.020000,3.497019,16.451451,1.982052,3.959828,0.238358,-0.009275,6.227484
0.020000,3.576186,16.447004,2.061344,3.964591,0.238172,-0.009299,6.226697
0.020000,3.655445,16.442495,2.140731,3.969352,0.238036,-0.006789,6.226016
0.020000,3.734796,16.437930,2.220213,3.974110,0.237910,-0.006327,6.225441
0.020000,3.814239,16.433318,2.299790,3.978866,0.237795,-0.005717,6.224971
0.020000,3.893776,16.428667,2.379463,3.983620,0.237701,-0.004731,6.224607
0.020000,3.973406,16.423986,2.459230,3.988373,0.237626,-0.003717,6.224349
0.020000,4.053130,16.419283,2.539093,3.993124,0.237573,-0.002692,6.224196
0.020000,4.132948,16.414567,2.619050,3.997875,0.237541,-0.001582,6.224149
0.020000,4.212861,16.409845,2.699103,4.002626,0.237536,-0.000249,6.224207
0.020000,4.292870,16.405127,2.779250,4.007377,0.237546,0.000499,6.224371
0.020000,4.372974,16.400420,2.859493,4.012128,0.237577,0.001561,6.224641
0.020000,4.453175,16.395734,2.939830,4.016881,0.237630,0.002614,6.225016
0.020000,4.533473,16.391076,3.020263,4.021635,0.237703,0.003653,6.225497
0.020000,4.613868,16.386456,3.100791,4.026391,0.237805,0.005105,6.226083
0.020000,4.694361,16.381882,3.181414,4.031149,0.237926,0.006046,6.226775
0.020000,4.774952,16.377363,3.262132,4.035910,0.238048,0.006114,6.227573
0.020000,4.855643,16.372907,3.342946,4.040674,0.238198,0.007524,6.228477
0.020000,4.936433,16.368523,3.423854,4.045442,0.238366,0.008395,6.229487
0.020000,5.017323,16.364219,3.504859,4.050213,0.238551,0.009215,6.230603
0.020000,5.098313,16.360006,3.585958,4.054988,0.238750,0.009976,6.231825
0.020000,5.179404,16.355890,3.667154,4.059767,0.238989,0.011950,6.233153
0.020000,5.260596,16.351882,3.748445,4.064552,0.239207,0.010889,6.234587
0.020000,5.341890,16.347991,3.829832,4.069340,0.239430,0.011167,6.236128
0.020000,5.423285,16.344224,3.911314,4.074134,0.239676,0.012275,6.237776
0.020000,5.504783,16.340592,3.992893,4.078932,0.239929,0.012643,6.239530
0.020000,5.586383,16.337102,4.074568,4.083736,0.240187,0.012913,6.241391
0.020000,5.668086,16.333765,4.156338,4.088545,0.240448,0.013077,6.243358
0.020000,5.749892,16.330590,4.238206,4.093360,0.240739,0.014535,6.245433
0.020000,5.831800,16.327585,4.320169,4.098180,0.240993,0.012708,6.247615
0.020000,5.913812,16.324760,4.402229,4.103004,0.241230,0.011826,6.249904
0.020000,5.995926,16.322124,4.484386,4.107834,0.241480,0.012492,6.252300
0.020000,6.078143,16.319686,4.566639,4.112668,0.241720,0.012019,6.254804
0.020000,6.160463,16.317456,4.648990,4.117507,0.241948,0.011397,6.257415
0.020000,6.242886,16.315443,4.731437,4.122350,0.242160,0.010619,6.260134
0.020000,6.325410,16.313656,4.813981,4.127197,0.242357,0.009815,6.262961
0.020000,6.408037,16.312105,4.896621,4.132049,0.242566,0.010447,6.265895
0.020000,6.490764,16.310800,4.979360,4.136902,0.242667,0.005079,6.268937
0.020000,6.573593,16.309749,5.062195,4.141758,0.242782,0.005752,6.272088
0.020000,6.656521,16.308963,5.145127,4.146615,0.242864,0.004084,6.275346
0.020000,6.739549,16.308452,5.228156,4.151473,0.242908,0.002216,6.278712
0.020000,6.822676,16.308223,5.311283,4.156331,0.242911,0.000142,6.282186
0.020000,6.905899,16.308289,5.394507,4.161189,0.242868,-0.002144,0.002583
0.020000,6.989219,16.308657,5.477828,4.166044,0.242775,-0.004639,0.006273
0.020000,7.072635,16.309338,5.561246,4.170897,0.242647,-0.006440,0.010070
0.020000,7.156144,16.310341,5.644761,4.175745,0.242412,-0.011734,0.013976
0.020000,7.239745,16.311677,5.728372,4.180588,0.242140,-0.013595,0.017989
0.020000,7.323436,16.313354,5.812081,4.185424,0.241799,-0.017034,0.022110
0.020000,7.407217,16.315383,5.895886,4.190252,0.241385,-0.020718,0.026338
0.020000,7.491084,16.317774,5.979787,4.195070,0.240892,-0.024652,0.030673
0.020000,7.575036,16.320536,6.063785,4.199876,0.240315,-0.028838,0.035114
0.020000,7.659071,16.323678,6.147878,4.204669,0.239650,-0.033279,0.039663
0.020000,7.743186,16.327212,6.232067,4.209446,0.238872,-0.038871,0.044317
0.020000,7.827378,16.331145,6.316351,4.214207,0.238008,-0.043226,0.049077
0.020000,7.911645,16.335489,6.400730,4.218948,0.237050,-0.047865,0.053943
0.020000,7.995984,16.340253,6.485204,4.223667,0.235976,-0.053713,0.058913
0.020000,8.080392,16.345445,6.569771,4.228363,0.234787,-0.059446,0.063988
0.020000,8.164865,16.351077,6.654431,4.233032,0.233478,-0.065432,0.069167
0.020000,8.249400,16.357157,6.739185,4.237673,0.232045,-0.071666,0.074449
0.020000,8.333993,16.363695,6.824031,4.242283,0.230482,-0.078144,0.079833
0.020000,8.418641,16.370700,6.908968,4.246857,0.228708,-0.088690,0.085319
0.020000,8.503339,16.378182,6.993996,4.251395,0.226881,-0.091388,0.090905
0.020000,8.588083,16.386149,7.079113,4.255894,0.224936,-0.097247,0.096592
0.020000,8.672869,16.394611,7.164320,4.260350,0.222805,-0.106516,0.102378
0.020000,8.757692,16.403577,7.249616,4.264760,0.220523,-0.114097,0.108261
0.020000,8.842546,16.413056,7.334998,4.269122,0.218086,-0.121859,0.114242
0.020000,8.927428,16.423056,7.420467,4.273432,0.215491,-0.129788,0.120318
0.020000,9.012331,16.433586,7.506020,4.277682,0.212526,-0.148243,0.126489
0.020000,9.097250,16.444655,7.591658,4.281876,0.209691,-0.141734,0.132753
0.020000,9.182180,16.456271,7.677378,4.286009,0.206662,-0.151442,0.139109
0.020000,9.267114,16.468441,7.763180,4.290077,0.203400,-0.163110,0.145556
0.020000,9.352046,16.481175,7.849061,4.294077,0.199968,-0.171594,0.152091
0.020000,9.436970,16.494479,7.935021,4.298003,0.196319,-0.182443,0.158713
0.020000,9.521880,16.508361,8.021058,4.301845,0.192104,-0.210755,0.165421
0.020000,9.606768,16.522829,8.107170,4.305616,0.188556,-0.177424,0.172213
0.020000,9.691628,16.537889,8.193357,4.309305,0.184434,-0.206069,0.179086
0.020000,9.776453,16.553549,8.279615,4.312908,0.180145,-0.214462,0.186040
0.020000,9.861235,16.569814,8.365943,4.316414,0.175307,-0.241926,0.193072
0.020000,9.945967,16.586692,8.452339,4.319825,0.170550,-0.237837,0.200179
0.020000,10.030641,16.604189,8.538802,4.323148,0.166154,-0.219792,0.207361
0.020000,10.115250,16.622309,8.625330,4.326372,0.161211,-0.247129,0.214613
0.020000,10.199785,16.641060,8.711919,4.329480,0.155387,-0.291241,0.221935
0.020000,10.284239,16.660444,8.798569,4.332485,0.150278,-0.255422,0.229324
0.020000,10.368602,16.680469,8.885277,4.335392,0.145317,-0.248071,0.236778
0.020000,10.452868,16.701138,8.972041,4.338178,0.139301,-0.300799,0.244293
0.020000,10.537027,16.722454,9.058857,4.340836,0.132926,-0.318726,0.251867
0.020000,10.621071,16.744424,9.145725,4.343400,0.128171,-0.237741,0.259499
0.020000,10.704992,16.767048,9.232642,4.345828,0.121404,-0.338348,0.267184
0.020000,10.775046,16.786452,9.305333,3.634580,-35.562380,-1784.189228,0.270733
0.020000,10.841353,16.804404,9.374028,3.434748,-9.991588,1278.539608,0.258173
0.020000,10.908337,16.821658,9.443198,3.458499,1.187505,558.954632,0.246140
0.020000,10.975970,16.838233,9.512833,3.481714,1.160766,-1.336911,0.234623
0.020000,11.044225,16.854147,9.582919,3.504317,1.130154,-1.530625,0.223608
0.020000,11.113080,16.869421,9.653447,3.526410,1.104662,-1.274581,0.213084
0.020000,11.182508,16.884076,9.724405,3.547879,1.073460,-1.560131,0.203038
0.020000,11.252487,16.898130,9.795781,3.568829,1.047460,-1.300010,0.193456
0.020000,11.322995,16.911606,9.867566,3.589213,1.019232,-1.411395,0.184328
0.020000,11.394010,16.924525,9.939746,3.609029,0.990785,-1.422326,0.175640
0.020000,11.465513,16.936907,10.012314,3.628370,0.967030,-1.187750,0.167381
0.020000,11.537484,16.948775,10.085257,3.647150,0.939019,-1.400553,0.159541
0.020000,11.609905,16.960149,10.158566,3.665448,0.914917,-1.205098,0.152106
0.020000,11.682760,16.971052,10.232232,3.683297,0.892455,-1.123122,0.145069
0.020000,11.756032,16.981505,10.306245,3.700684,0.869355,-1.154989,0.138417
0.020000,11.829705,16.991531,10.380597,3.717591,0.845313,-1.202116,0.132142
0.020000,11.903765,17.001149,10.455280,3.734132,0.827060,-0.912605,0.126234
0.020000,11.978200,17.010384,10.530285,3.750278,0.807326,-0.986719,0.120684
0.020000,12.052997,17.019255,10.605606,3.766053,0.788707,-0.930953,0.115485
0.020000,12.128144,17.027785,10.681236,3.781477,0.771205,-0.875113,0.110629
0.020000,12.203630,17.035995,10.757167,3.796555,0.753906,-0.864957,0.106108
0.020000,12.279445,17.043907,10.833394,3.811346,0.739549,-0.717823,0.101916
0.020000,12.355580,17.051543,10.909911,3.825857,0.725565,-0.699186,0.098046
0.020000,12.432027,17.058923,10.986713,3.840106,0.712439,-0.656336,0.094493
0.020000,12.508777,17.066069,11.063795,3.854114,0.700381,-0.602866,0.091251
0.020000,12.585824,17.073004,11.141153,3.867901,0.689379,-0.550097,0.088316
0.020000,12.663160,17.079747,11.218783,3.881489,0.679419,-0.498037,0.085682
0.020000,12.740780,17.086321,11.296681,3.894899,0.670485,-0.446673,0.083346
0.020000,12.818679,17.092746,11.374844,3.908150,0.662566,-0.395975,0.081305
0.020000,12.896851,17.099045,11.453269,3.921263,0.655648,-0.345898,0.079556
0.020000,12.975292,17.105239,11.531955,3.934258,0.649720,-0.296386,0.078095
0.020000,13.053998,17.111350,11.610898,3.947153,0.644773,-0.247372,0.076920
0.020000,13.132966,17.117399,11.690097,3.959969,0.640797,-0.198785,0.076031
0.020000,13.212193,17.123408,11.769552,3.972725,0.637786,-0.150547,0.075424
0.020000,13.291676,17.129400,11.849260,3.985440,0.635734,-0.102580,0.075101
0.020000,13.371414,17.135396,11.929223,3.998132,0.634638,-0.054801,0.075059
0.020000,13.451404,17.141419,12.009439,4.010822,0.634496,-0.007128,0.075300
0.020000,13.531645,17.147492,12.089910,4.023528,0.635306,0.040519,0.075823
0.020000,13.612136,17.153637,12.170635,4.036270,0.637094,0.089365,0.076629
0.020000,13.692876,17.159879,12.251617,4.049067,0.639847,0.137683,0.077719
0.020000,13.773866,17.166240,12.332856,4.061938,0.643521,0.183705,0.079095
0.020000,13.855104,17.172745,12.414354,4.074901,0.648181,0.233000,0.080760
0.020000,13.936590,17.179418,12.496113,4.087978,0.653816,0.281744,0.082715
0.020000,14.018326,17.186285,12.578137,4.101186,0.660433,0.330862,0.084963
0.020000,14.100312,17.193371,12.660428,4.114547,0.668041,0.380396,0.087509
0.020000,14.182547,17.200702,12.742989,4.128080,0.676649,0.430380,0.090355
0.020000,14.265034,17.208304,12.825825,4.141805,0.686266,0.480832,0.093506
0.020000,14.347772,17.216205,12.908940,4.155743,0.696901,0.531758,0.096967
0.020000,14.430763,17.224434,12.992339,4.169915,0.708564,0.583151,0.100743
0.020000,14.514009,17.233019,13.076025,4.184340,0.721263,0.634980,0.104839
0.020000,14.597509,17.241990,13.160006,4.199040,0.735007,0.687200,0.109263
0.020000,14.681265,17.251378,13.244287,4.214040,0.749972,0.748228,0.114019
0.020000,14.765279,17.261213,13.328875,4.229384,0.767230,0.862917,0.119117
0.020000,14.849551,17.271530,13.413776,4.245043,0.782926,0.784772,0.124562
0.020000,14.934081,17.282360,13.498997,4.261061,0.800917,0.899556,0.130363
0.020000,15.018870,17.293740,13.584546,4.277460,0.819956,0.951966,0.136529
0.020000,15.103918,17.305705,13.670431,4.294273,0.840628,1.033616,0.143069
0.020000,15.189225,17.318293,13.756662,4.311552,0.863975,1.167332,0.149992
0.020000,15.274790,17.331542,13.843247,4.329227,0.883733,0.987902,0.157309
0.020000,15.360611,17.345492,13.930194,4.347363,0.906800,1.153360,0.165029
0.020000,15.446687,17.360185,14.017515,4.366051,0.934425,1.381223,0.173163
0.020000,15.533014,17.375663,14.105219,4.385196,0.957249,1.141190,0.181723
0.020000,15.619589,17.391971,14.193316,4.404837,0.982053,1.240204,0.190720
0.020000,15.706407,17.409155,14.281818,4.425119,1.014065,1.600623,0.200167
0.020000,15.793460,17.427263,14.370735,4.445831,1.035591,1.076278,0.210075
0.020000,15.880742,17.446344,14.460079,4.467196,1.068269,1.633934,0.220457
0.020000,15.968243,17.466450,14.549860,4.489054,1.092898,1.231416,0.231326
0.020000,16.055953,17.487633,14.640091,4.511547,1.124678,1.588997,0.242694
0.020000,16.143855,17.509946,14.730781,4.534528,1.149052,1.218726,0.254574
