dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000848,0.900000,0.001143,0.114286,5.714286,285.714286,6.282243
0.020000,0.000642,0.900000,0.001348,0.010269,-5.200852,-545.756862,6.282472
0.020000,0.000180,0.900000,0.001811,0.023122,0.642651,292.175139,6.282985
0.020000,0.013644,0.900005,0.015275,0.673207,32.504286,1593.081730,0.000715
0.020000,0.040924,0.900044,0.042554,1.363971,34.538175,101.694446,0.002150
0.020000,0.079106,0.900165,0.080737,1.909147,27.258823,-363.967599,0.004169
0.020000,0.128182,0.900433,0.129814,2.453839,27.234564,-1.212950,0.006783
0.020000,0.187047,0.900925,0.188680,2.943327,24.474405,-138.007958,0.009946
0.020000,0.253509,0.901706,0.255147,3.323344,19.000883,-273.676089,0.013555
0.020000,0.325375,0.902822,0.327022,3.593713,13.518415,-274.123391,0.017504
0.020000,0.400458,0.904293,0.402120,3.754905,8.059608,-272.940346,0.021681
0.020000,0.476577,0.906106,0.478260,3.807006,2.605047,-272.728031,0.025970
0.020000,0.552639,0.908247,0.554352,3.804612,-0.119707,-136.237735,0.030312
0.020000,0.628642,0.910718,0.630396,3.802174,-0.121875,-0.108385,0.034708
0.020000,0.704584,0.913524,0.706389,3.799692,-0.124107,-0.111588,0.039159
0.020000,0.780463,0.916668,0.782333,3.797164,-0.126402,-0.114764,0.043665
0.020000,0.856275,0.920153,0.858225,3.794628,-0.126816,-0.020690,0.048228
0.020000,0.932021,0.923984,0.934068,3.792141,-0.124311,0.125252,0.052848
0.020000,1.007695,0.928164,1.009858,3.789482,-0.132983,-0.433626,0.057527
0.020000,1.083295,0.932698,1.085593,3.786771,-0.135535,-0.127598,0.062265
0.020000,1.158817,0.937588,1.161273,3.784008,-0.138146,-0.130557,0.067063
0.020000,1.234262,0.942838,1.236901,3.781371,-0.131850,0.314807,0.071923
0.020000,1.309624,0.948454,1.312472,3.778569,-0.140130,-0.413971,0.076844
0.020000,1.384900,0.954438,1.387985,3.775655,-0.145697,-0.278375,0.081829
0.020000,1.460087,0.960795,1.463441,3.772785,-0.143468,0.111466,0.086877
0.020000,1.535185,0.967529,1.538840,3.769945,-0.142017,0.072554,0.091991
0.020000,1.610186,0.974643,1.614177,3.766869,-0.153798,-0.589073,0.097170
0.020000,1.685089,0.982143,1.689455,3.763899,-0.148489,0.265454,0.102417
0.020000,1.759892,0.990031,1.764672,3.760866,-0.151662,-0.158644,0.107732
0.020000,1.834587,0.998313,1.839825,3.757628,-0.161906,-0.512215,0.113116
0.020000,1.909177,1.006992,1.914918,3.754665,-0.148161,0.687244,0.118570
0.020000,1.983651,1.016072,1.989944,3.751300,-0.168206,-1.002212,0.124095
0.020000,2.058012,1.025558,2.064908,3.748176,-0.156236,0.598502,0.129692
0.020000,2.132251,1.035455,2.139803,3.744771,-0.170215,-0.698993,0.135362
0.020000,2.206367,1.045765,2.214634,3.741526,-0.162292,0.396155,0.141107
0.020000,2.280354,1.056494,2.289394,3.738023,-0.175133,-0.642016,0.146927
0.020000,2.354211,1.067647,2.364089,3.734714,-0.165440,0.484613,0.152824
0.020000,2.427929,1.079226,2.438710,3.731079,-0.181758,-0.815861,0.158798
0.020000,2.501509,1.091238,2.513264,3.727702,-0.168860,0.644885,0.164851
0.020000,2.574942,1.103685,2.587745,3.724027,-0.183734,-0.743709,0.170983
