dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,-0.000848,-0.900000,0.001143,0.114286,5.714286,285.714286,6.282243
0.020000,-0.000642,-0.900000,0.001348,0.010269,-5.200852,-545.756862,6.282472
0.020000,-0.000180,-0.900000,0.001811,0.023122,0.642651,292.175139,6.282985
0.020000,0.014931,-0.899995,0.016922,0.755568,36.622298,1798.982331,0.000715
0.020000,0.044793,-0.899952,0.046784,1.493091,36.876190,12.694628,0.002150
0.020000,0.086610,-0.899820,0.088601,2.090856,29.888215,-349.398773,0.004169
0.020000,0.140391,-0.899525,0.142383,2.689081,29.911267,1.152626,0.006783
0.020000,0.204949,-0.898986,0.206943,3.228034,26.947622,-148.182292,0.009946
0.020000,0.277908,-0.898128,0.279907,3.648184,21.007499,-297.006124,0.013555
0.020000,0.356880,-0.896902,0.358888,3.949067,15.044195,-298.165201,0.017504
0.020000,0.439480,-0.895284,0.441505,4.130813,9.087283,-297.845602,0.021681
0.020000,0.523317,-0.893287,0.525365,4.193029,3.110775,-298.825411,0.025970
0.020000,0.607192,-0.890926,0.609273,4.195408,0.118950,-149.591246,0.030312
0.020000,0.691104,-0.888197,0.693230,4.197819,0.120587,0.081845,0.034708
0.020000,0.775052,-0.885096,0.777235,4.200264,0.122210,0.081155,0.039159
0.020000,0.859035,-0.881616,0.861290,4.202740,0.123819,0.080462,0.043665
0.020000,0.943052,-0.877754,0.945396,4.205291,0.127571,0.187575,0.048228
0.020000,1.027104,-0.873503,1.029555,4.207984,0.134630,0.352942,0.052848
0.020000,1.111187,-0.868858,1.113767,4.210571,0.129344,-0.264281,0.057527
0.020000,1.195300,-0.863814,1.198030,4.213189,0.130890,0.077283,0.062265
0.020000,1.279440,-0.858366,1.282347,4.215837,0.132421,0.076573,0.067063
0.020000,1.363611,-0.852508,1.366721,4.218716,0.143947,0.576311,0.071923
0.020000,1.447808,-0.846234,1.451152,4.221502,0.139283,-0.233206,0.076844
0.020000,1.532027,-0.839539,1.535637,4.224255,0.137668,-0.080754,0.081829
0.020000,1.616270,-0.832416,1.620180,4.227151,0.144822,0.357721,0.086877
0.020000,1.700535,-0.824860,1.704783,4.230175,0.151179,0.317849,0.091991
0.020000,1.784817,-0.816865,1.789444,4.233030,0.142726,-0.422692,0.097170
0.020000,1.869118,-0.808425,1.874166,4.236100,0.153500,0.538702,0.102417
0.020000,1.953434,-0.799533,1.958950,4.239195,0.154798,0.064928,0.107732
0.020000,2.037761,-0.790184,2.043793,4.242158,0.148139,-0.332950,0.113116
0.020000,2.122102,-0.780370,2.128703,4.245530,0.168605,1.023291,0.118570
0.020000,2.206449,-0.770086,2.213674,4.248549,0.150920,-0.884262,0.124095
0.020000,2.290804,-0.759325,2.298713,4.251938,0.169479,0.927952,0.129692
0.020000,2.375160,-0.748080,2.383815,4.255112,0.158657,-0.541072,0.135362
0.020000,2.459519,-0.736344,2.468987,4.258566,0.172718,0.703009,0.141107
0.020000,2.543873,-0.724112,2.554223,4.261829,0.163178,-0.476970,0.146927
0.020000,2.628225,-0.711374,2.639532,4.265416,0.179323,0.807216,0.152824
0.020000,2.712565,-0.698126,2.724906,4.268732,0.165783,-0.676982,0.158798
0.020000,2.796898,-0.684359,2.810355,4.272444,0.185642,0.992949,0.164851
0.020000,2.881214,-0.670067,2.895873,4.275918,0.173701,-0.597050,0.170983
