dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.355229,18.364398,0.001143,0.114286,5.714286,285.714286,6.257241
0.020000,1.355174,18.364399,0.001197,0.002729,-5.577860,-564.607281,6.257301
0.020000,1.363248,18.364191,0.009274,0.403834,20.055263,1281.656135,6.257438
0.020000,1.381310,18.363728,0.027342,0.903417,24.979164,246.195057,6.257679
0.020000,1.409535,18.363013,0.055576,1.411665,25.412410,21.662322,6.258055
0.020000,1.449052,18.362030,0.095106,1.976488,28.241138,141.436363,6.258577
0.020000,1.499867,18.360796,0.145935,2.541467,28.248956,0.390894,6.259243
0.020000,1.560853,18.359360,0.206938,3.050159,25.434599,-140.717831,6.260033
0.020000,1.629756,18.357795,0.275859,3.446073,19.795707,-281.944602,6.260914
0.020000,1.704322,18.356169,0.350443,3.729164,14.154517,-282.059496,6.261853
0.020000,1.782292,18.354543,0.428430,3.899366,8.510134,-282.219167,6.262820
0.020000,1.861409,18.352970,0.507562,3.956605,2.861950,-282.409181,6.263784
0.020000,1.940541,18.351472,0.586709,3.957337,0.036596,-141.267715,6.264732
0.020000,2.019690,18.350049,0.665870,3.958069,0.036614,0.000912,6.265664
0.020000,2.098855,18.348698,0.745046,3.958802,0.036622,0.000399,6.266579
0.020000,2.178035,18.347419,0.824237,3.959534,0.036631,0.000440,6.267479
0.020000,2.257231,18.346210,0.903442,3.960267,0.036641,0.000531,6.268362
0.020000,2.336443,18.345070,0.982662,3.961000,0.036656,0.000735,6.269228
0.020000,2.415670,18.343998,1.061897,3.961734,0.036661,0.000240,6.270079
0.020000,2.494913,18.342992,1.141146,3.962467,0.036668,0.000379,6.270913
0.020000,2.574172,18.342052,1.220410,3.963201,0.036677,0.000406,6.271730
0.020000,2.653445,18.341176,1.299689,3.963934,0.036688,0.000571,6.272532
0.020000,2.732735,18.340362,1.378982,3.964668,0.036691,0.000132,6.273317
0.020000,2.812039,18.339610,1.458291,3.965402,0.036697,0.000313,6.274086
0.020000,2.891359,18.338918,1.537613,3.966136,0.036703,0.000311,6.274838
0.020000,2.970694,18.338285,1.616951,3.966870,0.036711,0.000389,6.275575
0.020000,3.050044,18.337710,1.696303,3.967605,0.036713,0.000099,6.276295
0.020000,3.129409,18.337191,1.775670,3.968339,0.036718,0.000234,6.276998
0.020000,3.208789,18.336728,1.855051,3.969073,0.036722,0.000231,6.277685
0.020000,3.288184,18.336318,1.934447,3.969808,0.036727,0.000231,6.278356
0.020000,3.367594,18.335960,2.013858,3.970543,0.036729,0.000093,6.279011
0.020000,3.447019,18.335654,2.093284,3.971277,0.036732,0.000158,6.279649
0.020000,3.526459,18.335398,2.172724,3.972012,0.036735,0.000156,6.280271
0.020000,3.605914,18.335191,2.252179,3.972747,0.036737,0.000126,6.280877
0.020000,3.685383,18.335031,2.331648,3.973481,0.036739,0.000076,6.281466
0.020000,3.764867,18.334917,2.411133,3.974216,0.036741,0.000098,6.282039
0.020000,3.844366,18.334848,2.490632,3.974951,0.036743,0.000088,6.282596
0.020000,3.923880,18.334823,2.570145,3.975686,0.036744,0.000062,6.283136
0.020000,4.003408,18.334840,2.649674,3.976421,0.036745,0.000054,0.000475
0.020000,4.082951,18.334898,2.729217,3.977156,0.036746,0.000051,0.000982
0.020000,4.162509,18.334996,2.808775,3.977891,0.036747,0.000031,0.001474
0.020000,4.242082,18.335132,2.888347,3.978626,0.036747,0.000028,0.001949
0.020000,4.321669,18.335306,2.967934,3.979361,0.036748,0.000030,0.002407
0.020000,4.401270,18.335515,3.047536,3.980096,0.036748,0.000017,0.002850
0.020000,4.480886,18.335759,3.127153,3.980830,0.036748,-0.000015,0.003276
0.020000,4.560517,18.336036,3.206784,3.981565,0.036748,0.000016,0.003685
0.020000,4.640163,18.336345,3.286430,3.982300,0.036748,0.000007,0.004079
0.020000,4.719823,18.336685,3.366091,3.983035,0.036748,-0.000006,0.004456
