dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.308533,16.565003,0.001143,0.114286,5.714286,285.714286,6.257241
0.020000,1.308588,16.565002,0.001197,0.002729,-5.577860,-564.607281,6.257301
0.020000,1.316907,16.564787,0.009519,0.416095,20.668307,1312.308322,6.257438
0.020000,1.335404,16.564313,0.028022,0.925155,25.452996,239.234471,6.257679
0.020000,1.364304,16.563581,0.056932,1.445477,26.016141,28.157260,6.258055
0.020000,1.404762,16.562575,0.097402,2.023512,28.901732,144.279549,6.258577
0.020000,1.456775,16.561312,0.149430,2.601390,28.893895,-0.391847,6.259243
0.020000,1.519183,16.559842,0.211855,3.121269,25.993970,-144.996262,6.260033
0.020000,1.589672,16.558241,0.282362,3.525355,20.204289,-289.484062,6.260914
0.020000,1.665927,16.556579,0.358636,3.813693,14.416907,-289.369079,6.261853
0.020000,1.745637,16.554917,0.438363,3.986348,8.632724,-289.209141,6.262820
0.020000,1.826489,16.553309,0.519231,4.043394,2.852334,-289.019533,6.263784
0.020000,1.907328,16.551779,0.600084,4.042662,-0.036599,-144.446653,6.264732
0.020000,1.988153,16.550325,0.680923,4.041930,-0.036606,-0.000315,6.265664
0.020000,2.068965,16.548946,0.761747,4.041198,-0.036621,-0.000766,6.266579
0.020000,2.149764,16.547641,0.842556,4.040465,-0.036634,-0.000653,6.267479
0.020000,2.230549,16.546407,0.923351,4.039732,-0.036644,-0.000492,6.268362
0.020000,2.311321,16.545245,1.004131,4.038999,-0.036648,-0.000219,6.269228
0.020000,2.392079,16.544152,1.084896,4.038266,-0.036662,-0.000661,6.270079
0.020000,2.472823,16.543128,1.165647,4.037533,-0.036671,-0.000460,6.270913
0.020000,2.553553,16.542170,1.246383,4.036799,-0.036678,-0.000374,6.271730
0.020000,2.634270,16.541278,1.327104,4.036066,-0.036681,-0.000150,6.272532
0.020000,2.714972,16.540450,1.407811,4.035332,-0.036692,-0.000545,6.273317
0.020000,2.795661,16.539685,1.488503,4.034598,-0.036698,-0.000310,6.274086
0.020000,2.876335,16.538981,1.569180,4.033864,-0.036704,-0.000263,6.274838
0.020000,2.956995,16.538338,1.649843,4.033130,-0.036706,-0.000137,6.275575
0.020000,3.037641,16.537753,1.730491,4.032395,-0.036714,-0.000388,6.276295
0.020000,3.118272,16.537226,1.811124,4.031661,-0.036718,-0.000210,6.276998
0.020000,3.198889,16.536755,1.891742,4.030926,-0.036722,-0.000172,6.277685
0.020000,3.279492,16.536339,1.972346,4.030192,-0.036724,-0.000135,6.278356
0.020000,3.360080,16.535976,2.052935,4.029457,-0.036729,-0.000240,6.279011
0.020000,3.440654,16.535665,2.133510,4.028723,-0.036732,-0.000140,6.279649
0.020000,3.521213,16.535406,2.214070,4.027988,-0.036734,-0.000110,6.280271
0.020000,3.601758,16.535196,2.294615,4.027253,-0.036736,-0.000110,6.280877
0.020000,3.682288,16.535034,2.375145,4.026519,-0.036739,-0.000132,6.281466
0.020000,3.762804,16.534918,2.455661,4.025784,-0.036741,-0.000084,6.282039
0.020000,3.843305,16.534849,2.536162,4.025049,-0.036742,-0.000069,6.282596
0.020000,3.923791,16.534823,2.616648,4.024314,-0.036744,-0.000072,6.283136
0.020000,4.004263,16.534840,2.697119,4.023579,-0.036745,-0.000059,0.000475
0.020000,4.084720,16.534899,2.777576,4.022844,-0.036746,-0.000042,0.000982
0.020000,4.165162,16.534998,2.858019,4.022109,-0.036747,-0.000044,0.001474
0.020000,4.245589,16.535135,2.938446,4.021374,-0.036747,-0.000030,0.001949
0.020000,4.326002,16.535311,3.018859,4.020639,-0.036747,-0.000013,0.002407
0.020000,4.406400,16.535522,3.099257,4.019904,-0.036748,-0.000011,0.002850
0.020000,4.486783,16.535768,3.179640,4.019169,-0.036748,-0.000031,0.003276
0.020000,4.567151,16.536048,3.260009,4.018434,-0.036748,0.000012,0.003685
0.020000,4.647504,16.536360,3.340363,4.017700,-0.036748,0.000013,0.004079
0.020000,4.727843,16.536703,3.420702,4.016965,-0.036748,0.000009,0.004456
0.020000,4.808167,16.537076,3.501027,4.016230,-0.036748,-0.000025,0.004816
0.020000,4.888475,16.537476,3.581337,4.015495,-0.036747,0.000046,0.005161
0.020000,4.968769,16.537904,3.661632,4.014760,-0.036747,0.000023,0.005489
0.020000,5.049049,16.538357,3.741912,4.014025,-0.036746,0.000019,0.005800
0.020000,5.129313,16.538835,3.822178,4.013290,-0.036747,-0.000020,0.006096
0.020000,5.209563,16.539335,3.902429,4.012555,-0.036745,0.000066,0.006375
0.020000,5.289797,16.539857,3.982666,4.011820,-0.036745,0.000024,0.006637
0.020000,5.370017,16.540400,4.062887,4.011085,-0.036745,0.000018,0.006884
0.020000,5.450222,16.540961,4.143094,4.010350,-0.036745,-0.000002,0.007114
0.020000,5.530412,16.541540,4.223287,4.009615,-0.036743,0.000059,0.007327
0.020000,5.610588,16.542136,4.303464,4.008881,-0.036743,0.000023,0.007525
