dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.536891,18.318075,0.001143,0.114286,5.714286,285.714286,6.261694
0.020000,1.537049,18.318072,0.001301,0.007890,-5.319794,-551.703990,6.261519
0.020000,1.545878,18.317879,0.010132,0.441555,21.683261,1350.152764,6.261126
0.020000,1.564783,18.317455,0.029042,0.945517,25.198105,175.742183,6.260432
0.020000,1.594311,18.316767,0.058578,1.476818,26.565057,68.347619,6.259360
0.020000,1.635627,18.315752,0.099907,2.066413,29.479759,145.735095,6.257884
0.020000,1.688707,18.314359,0.153004,2.654877,29.423164,-2.829765,6.256029
0.020000,1.752341,18.312562,0.216664,3.182971,26.404724,-150.921982,6.253868
0.020000,1.824143,18.310371,0.288500,3.591800,20.441421,-298.165139,6.251511
0.020000,1.901735,18.307816,0.366134,3.881695,14.494791,-297.331499,6.249060
0.020000,1.982747,18.304951,0.447196,4.053122,8.571341,-296.172502,6.246610
0.020000,2.064821,18.301849,0.529329,4.106631,2.675413,-294.796406,6.244240
0.020000,2.146782,18.298562,0.611356,4.101363,-0.263393,-146.940338,6.241988
0.020000,2.228631,18.295100,0.693278,4.096099,-0.263166,0.011366,6.239852
0.020000,2.310367,18.291473,0.775095,4.090840,-0.262945,0.011050,6.237833
0.020000,2.391991,18.287690,0.856806,4.085585,-0.262796,0.007469,6.235932
0.020000,2.473504,18.283761,0.938413,4.080334,-0.262516,0.014001,6.234146
0.020000,2.554904,18.279697,1.019915,4.075088,-0.262328,0.009407,6.232478
0.020000,2.636193,18.275508,1.101312,4.069845,-0.262127,0.010033,6.230926
0.020000,2.717371,18.271202,1.182604,4.064608,-0.261882,0.012250,6.229490
0.020000,2.798438,18.266791,1.263791,4.059373,-0.261724,0.007887,6.228170
0.020000,2.879396,18.262283,1.344874,4.054143,-0.261502,0.011133,6.226967
0.020000,2.960244,18.257688,1.425853,4.048917,-0.261316,0.009258,6.225880
0.020000,3.040983,18.253016,1.506726,4.043693,-0.261179,0.006865,6.224909
0.020000,3.121613,18.248277,1.587496,4.038473,-0.260986,0.009657,6.224054
0.020000,3.202135,18.243479,1.668161,4.033256,-0.260868,0.005915,6.223315
0.020000,3.282550,18.238633,1.748722,4.028041,-0.260740,0.006376,6.222692
0.020000,3.362858,18.233748,1.829178,4.022829,-0.260623,0.005846,6.222185
0.020000,3.443060,18.228833,1.909531,4.017618,-0.260556,0.003345,6.221793
0.020000,3.523156,18.223898,1.989779,4.012408,-0.260471,0.004284,6.221518
0.020000,3.603148,18.218951,2.069923,4.007200,-0.260429,0.002087,6.221358
0.020000,3.683034,18.214003,2.149963,4.001992,-0.260401,0.001382,6.221313
0.020000,3.762817,18.209063,2.229898,3.996784,-0.260393,0.000400,6.221385
0.020000,3.842497,18.204139,2.309730,3.991576,-0.260404,-0.000532,6.221572
0.020000,3.922074,18.199241,2.389457,3.986367,-0.260440,-0.001784,6.221875
0.020000,4.001548,18.194378,2.469080,3.981157,-0.260497,-0.002890,6.222294
0.020000,4.080921,18.189560,2.548599,3.975946,-0.260555,-0.002904,6.222828
0.020000,4.160192,18.184794,2.628014,3.970732,-0.260668,-0.005611,6.223479
0.020000,4.239363,18.180091,2.707324,3.965517,-0.260764,-0.004802,6.224245
0.020000,4.318434,18.175460,2.786530,3.960299,-0.260894,-0.006509,6.225127
0.020000,4.397404,18.170908,2.865632,3.955078,-0.261058,-0.008187,6.226125
0.020000,4.476275,18.166446,2.944629,3.949855,-0.261175,-0.005892,6.227240
0.020000,4.555047,18.162083,3.023521,3.944627,-0.261389,-0.010689,6.228470
0.020000,4.633720,18.157826,3.102309,3.939396,-0.261563,-0.008679,6.229817
0.020000,4.712294,18.153686,3.180993,3.934161,-0.261739,-0.008789,6.231280
0.020000,4.790770,18.149670,3.259571,3.928921,-0.261981,-0.012138,6.232860
0.020000,4.869147,18.145788,3.338045,3.923678,-0.262151,-0.008468,6.234556
0.020000,4.947426,18.142049,3.416413,3.918430,-0.262388,-0.011856,6.236368
0.020000,5.025608,18.138461,3.494677,3.913178,-0.262622,-0.011715,6.238298
0.020000,5.103691,18.135033,3.572835,3.907922,-0.262776,-0.007676,6.240344
0.020000,5.181676,18.131773,3.650888,3.902661,-0.263050,-0.013721,6.242507
0.020000,5.259563,18.128691,3.728836,3.897397,-0.263230,-0.008995,6.244787
0.020000,5.337352,18.125796,3.806679,3.892129,-0.263405,-0.008750,6.247184
0.020000,5.415042,18.123094,3.884416,3.886856,-0.263627,-0.011123,6.249698
0.020000,5.492633,18.120597,3.962048,3.881581,-0.263747,-0.005971,6.252330
0.020000,5.570126,18.118311,4.039574,3.876303,-0.263911,-0.008195,6.255079
0.020000,5.647519,18.116245,4.116994,3.871022,-0.264047,-0.006837,6.257945
0.020000,5.724812,18.114408,4.194309,3.865741,-0.264081,-0.001683,6.260928
0.020000,5.802004,18.112809,4.271518,3.860457,-0.264188,-0.005341,6.264029
0.020000,5.879096,18.111455,4.348622,3.855173,-0.264195,-0.000347,6.267248
0.020000,5.956086,18.110356,4.425619,3.849890,-0.264145,0.002488,6.270583
0.020000,6.032973,18.109519,4.502512,3.844608,-0.264108,0.001870,6.274036
0.020000,6.109758,18.108952,4.579298,3.839328,-0.263965,0.007113,6.277607
0.020000,6.186438,18.108665,4.655979,3.834053,-0.263786,0.008997,6.281294
0.020000,6.263014,18.108665,4.732555,3.828782,-0.263553,0.011635,0.001914
0.020000,6.339484,18.108961,4.809025,3.823517,-0.263232,0.016038,0.005836
0.020000,6.415847,18.109560,4.885390,3.818260,-0.262854,0.018885,0.009874
0.020000,6.492101,18.110471,4.961651,3.813012,-0.262384,0.023535,0.014030
0.020000,6.568247,18.111701,5.037806,3.807775,-0.261853,0.026537,0.018301
0.020000,6.644282,18.113259,5.113857,3.802551,-0.261197,0.032774,0.022689
0.020000,6.720205,18.115152,5.189804,3.797342,-0.260456,0.037061,0.027192
0.020000,6.796015,18.117388,5.265647,3.792149,-0.259659,0.039871,0.031811
0.020000,6.871711,18.119976,5.341387,3.786976,-0.258659,0.049974,0.036545
0.020000,6.947290,18.122922,5.417023,3.781823,-0.257625,0.051721,0.041393
