dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.498210,16.518491,0.001143,0.114286,5.714286,285.714286,6.261694
0.020000,1.498052,16.518494,0.001301,0.007890,-5.319794,-551.703990,6.261519
0.020000,1.506174,16.518317,0.009424,0.406177,19.914350,1261.707193,6.261126
0.020000,1.523830,16.517921,0.027085,0.883054,23.843849,196.474953,6.260432
0.020000,1.551429,16.517278,0.054692,1.380324,24.863532,50.984164,6.259360
0.020000,1.590089,16.516328,0.093363,1.933586,27.663085,139.977648,6.257884
0.020000,1.639832,16.515023,0.143123,2.487980,27.719668,2.829143,6.256029
0.020000,1.699577,16.513335,0.202892,2.988456,25.023836,-134.791574,6.253868
0.020000,1.767138,16.511274,0.270485,3.379628,19.558583,-273.262677,6.251511
0.020000,1.840322,16.508864,0.343708,3.661160,14.076596,-274.099325,6.249060
0.020000,1.916926,16.506154,0.420360,3.832589,8.571462,-275.256706,6.246610
0.020000,1.994737,16.503214,0.498227,3.893368,3.038952,-276.625522,6.244240
0.020000,2.072647,16.500090,0.576200,3.898635,0.263355,-138.779845,6.241988
0.020000,2.150656,16.496790,0.654278,3.903899,0.263188,-0.008327,6.239852
0.020000,2.228762,16.493323,0.732461,3.909159,0.262998,-0.009532,6.237833
0.020000,2.306966,16.489699,0.810749,3.914413,0.262726,-0.013571,6.235932
0.020000,2.385269,16.485925,0.889143,3.919665,0.262574,-0.007640,6.234146
0.020000,2.463669,16.482011,0.967641,3.924912,0.262332,-0.012084,6.232478
0.020000,2.542168,16.477965,1.046244,3.930154,0.262106,-0.011285,6.230926
0.020000,2.620766,16.473797,1.124952,3.935392,0.261932,-0.008694,6.229490
0.020000,2.699462,16.469514,1.203764,3.940626,0.261687,-0.012248,6.228170
0.020000,2.778257,16.465127,1.282681,3.945857,0.261523,-0.008232,6.226967
0.020000,2.857151,16.460643,1.361703,3.951083,0.261343,-0.008986,6.225880
0.020000,2.936145,16.456072,1.440829,3.956306,0.261141,-0.010093,6.224909
0.020000,3.015239,16.451423,1.520060,3.961527,0.261022,-0.005977,6.224054
0.020000,3.094433,16.446704,1.599395,3.966744,0.260859,-0.008112,6.223315
0.020000,3.173729,16.441926,1.678834,3.971959,0.260739,-0.006015,6.222692
0.020000,3.253125,16.437096,1.758377,3.977171,0.260643,-0.004778,6.222185
0.020000,3.332624,16.432224,1.838025,3.982382,0.260535,-0.005406,6.221793
0.020000,3.412225,16.427319,1.917777,3.987592,0.260484,-0.002559,6.221518
0.020000,3.491929,16.422391,1.997633,3.992800,0.260429,-0.002761,6.221358
0.020000,3.571736,16.417447,2.077593,3.998008,0.260400,-0.001447,6.221313
0.020000,3.651647,16.412499,2.157657,4.003216,0.260392,-0.000384,6.221385
0.020000,3.731663,16.407554,2.237826,4.008424,0.260407,0.000735,6.221572
0.020000,3.811784,16.402623,2.318098,4.013633,0.260438,0.001523,6.221875
0.020000,3.892011,16.397714,2.398475,4.018843,0.260486,0.002429,6.222294
0.020000,3.972344,16.392837,2.478956,4.024054,0.260574,0.004398,6.222828
0.020000,4.052784,16.388002,2.559542,4.029267,0.260646,0.003582,6.223479
0.020000,4.133332,16.383217,2.640231,4.034483,0.260771,0.006250,6.224245
0.020000,4.213988,16.378492,2.721025,4.039701,0.260896,0.006278,6.225127
0.020000,4.294752,16.373838,2.801924,4.044921,0.261021,0.006215,6.226125
0.020000,4.375626,16.369263,2.882927,4.050146,0.261222,0.010092,6.227240
0.020000,4.456609,16.364776,2.964034,4.055373,0.261354,0.006565,6.228470
0.020000,4.537702,16.360389,3.045246,4.060604,0.261551,0.009847,6.229817
0.020000,4.618906,16.356110,3.126563,4.065839,0.261766,0.010789,6.231280
0.020000,4.700222,16.351949,3.207984,4.071078,0.261930,0.008181,6.232860
0.020000,4.781648,16.347916,3.289511,4.076321,0.262182,0.012617,6.234556
0.020000,4.863187,16.344021,3.371142,4.081569,0.262373,0.009513,6.236368
0.020000,4.944837,16.340274,3.452879,4.086820,0.262569,0.009803,6.238298
0.020000,5.026600,16.336684,3.534720,4.092077,0.262847,0.013913,6.240344
0.020000,5.108475,16.333262,3.616667,4.097337,0.262991,0.007187,6.242507
0.020000,5.190463,16.330018,3.698719,4.102601,0.263219,0.011418,6.244787
0.020000,5.272564,16.326962,3.780876,4.107870,0.263432,0.010647,6.247184
0.020000,5.354777,16.324104,3.863139,4.113141,0.263567,0.006750,6.249698
0.020000,5.437102,16.321453,3.945507,4.118417,0.263776,0.010439,6.252330
0.020000,5.519540,16.319021,4.027981,4.123695,0.263895,0.005946,6.255079
