dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.635463,18.318283,0.001143,0.114286,5.714286,285.714286,0.000176
0.020000,0.635562,18.318283,0.001243,0.004991,-5.464715,-558.950042,0.000065
0.020000,0.643373,18.318283,0.009053,0.390508,19.275807,1237.026103,6.283002
0.020000,0.662056,18.318275,0.027736,0.934156,27.182447,395.332019,6.282560
0.020000,0.691245,18.318247,0.056925,1.459460,26.265180,-45.863361,6.281874
0.020000,0.732103,18.318174,0.097783,2.042916,29.172800,145.381011,6.280920
0.020000,0.784624,18.318023,0.150304,2.626045,29.156438,-0.818132,6.279706
0.020000,0.847632,18.317758,0.213313,3.150419,26.218698,-146.887005,6.278268
0.020000,0.918785,18.317351,0.284467,3.557710,20.364541,-292.707821,6.276668
0.020000,0.995743,18.316784,0.361427,3.848014,14.515217,-292.466208,6.274967
0.020000,1.076169,18.316052,0.441857,4.021465,8.672545,-292.133587,6.273220
0.020000,1.157728,18.315168,0.523421,4.078221,2.837822,-291.736161,6.271481
0.020000,1.239256,18.314145,0.604955,4.076684,-0.076885,-145.735341,6.269777
0.020000,1.320750,18.312983,0.686458,4.075144,-0.076966,-0.004075,6.268107
0.020000,1.402212,18.311688,0.767930,4.073604,-0.077014,-0.002411,6.266472
0.020000,1.483641,18.310262,0.849371,4.072062,-0.077088,-0.003693,6.264870
0.020000,1.565036,18.308707,0.930781,4.070520,-0.077126,-0.001895,6.263303
0.020000,1.646399,18.307026,1.012161,4.068976,-0.077192,-0.003300,6.261770
0.020000,1.727727,18.305223,1.093509,4.067431,-0.077222,-0.001470,6.260272
0.020000,1.809022,18.303300,1.174827,4.065886,-0.077280,-0.002898,6.258808
0.020000,1.890283,18.301261,1.256114,4.064340,-0.077302,-0.001129,6.257378
0.020000,1.971511,18.299107,1.337370,4.062793,-0.077352,-0.002491,6.255983
0.020000,2.052704,18.296842,1.418595,4.061245,-0.077369,-0.000865,6.254622
0.020000,2.133863,18.294469,1.499789,4.059697,-0.077411,-0.002082,6.253295
0.020000,2.214988,18.291991,1.580952,4.058149,-0.077424,-0.000670,6.252003
0.020000,2.296079,18.289410,1.662084,4.056600,-0.077458,-0.001675,6.250745
0.020000,2.377136,18.286730,1.743185,4.055050,-0.077469,-0.000544,6.249522
0.020000,2.458158,18.283953,1.824255,4.053500,-0.077494,-0.001259,6.248333
0.020000,2.539147,18.281082,1.905294,4.051950,-0.077504,-0.000503,6.247178
0.020000,2.620100,18.278120,1.986302,4.050400,-0.077521,-0.000846,6.246058
0.020000,2.701020,18.275071,2.067279,4.048849,-0.077530,-0.000459,6.244973
0.020000,2.781905,18.271935,2.148225,4.047298,-0.077540,-0.000523,6.243922
0.020000,2.862756,18.268718,2.229139,4.045747,-0.077548,-0.000388,6.242905
0.020000,2.943573,18.265421,2.310023,4.044196,-0.077554,-0.000279,6.241923
0.020000,3.024355,18.262047,2.390876,4.042645,-0.077560,-0.000299,6.240975
0.020000,3.105104,18.258600,2.471698,4.041094,-0.077562,-0.000101,6.240062
0.020000,3.185818,18.255081,2.552489,4.039543,-0.077566,-0.000199,6.239183
0.020000,3.266498,18.251494,2.633249,4.037991,-0.077565,0.000020,6.238339
0.020000,3.347144,18.247842,2.713978,4.036440,-0.077567,-0.000095,6.237529
0.020000,3.427756,18.244128,2.794675,4.034889,-0.077565,0.000096,6.236754
0.020000,3.508335,18.240353,2.875342,4.033337,-0.077565,0.000007,6.236013
0.020000,3.588879,18.236522,2.955978,4.031786,-0.077563,0.000136,6.235307
0.020000,3.669390,18.232637,3.036583,4.030235,-0.077561,0.000101,6.234635
0.020000,3.749868,18.228701,3.117156,4.028684,-0.077558,0.000147,6.233998
0.020000,3.830312,18.224717,3.197699,4.027133,-0.077554,0.000182,6.233395
0.020000,3.910723,18.220686,3.278211,4.025582,-0.077551,0.000139,6.232826
0.020000,3.991100,18.216614,3.358691,4.024031,-0.077546,0.000248,6.232292
0.020000,4.071444,18.212501,3.439141,4.022480,-0.077544,0.000116,6.231793
0.020000,4.151756,18.208351,3.519559,4.020929,-0.077538,0.000295,6.231327
0.020000,4.232035,18.204166,3.599947,4.019378,-0.077536,0.000087,6.230897
0.020000,4.312280,18.199950,3.680303,4.017828,-0.077530,0.000321,6.230501
0.020000,4.392494,18.195706,3.760629,4.016277,-0.077529,0.000055,6.230139
0.020000,4.472675,18.191435,3.840924,4.014727,-0.077522,0.000325,6.229812
0.020000,4.552823,18.187141,3.921187,4.013176,-0.077522,0.000025,6.229519
0.020000,4.632940,18.182827,4.001420,4.011626,-0.077516,0.000306,6.229261
0.020000,4.713024,18.178495,4.081621,4.010076,-0.077516,0.000000,6.229037
0.020000,4.793077,18.174148,4.161792,4.008525,-0.077510,0.000266,6.228847
0.020000,4.873098,18.169789,4.241931,4.006975,-0.077511,-0.000015,6.228692
0.020000,4.953087,18.165421,4.322040,4.005425,-0.077507,0.000204,6.228572
0.020000,5.033045,18.161046,4.402117,4.003875,-0.077507,-0.000021,6.228485
0.020000,5.112971,18.156667,4.482164,4.002325,-0.077504,0.000122,6.228434
0.020000,5.192867,18.152288,4.562179,4.000775,-0.077505,-0.000012,6.228417
0.020000,5.272732,18.147910,4.642164,3.999225,-0.077504,0.000025,6.228434
0.020000,5.352565,18.143536,4.722117,3.997675,-0.077504,0.000000,6.228486
0.020000,5.432368,18.139170,4.802040,3.996124,-0.077506,-0.000070,6.228572
0.020000,5.512141,18.134813,4.881931,3.994574,-0.077506,0.000003,6.228692
0.020000,5.591883,18.130470,4.961792,3.993024,-0.077509,-0.000149,6.228847
