dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,9.872690,22.820763,0.001143,0.114286,5.714286,285.714286,6.283160
0.020000,9.872684,22.820763,0.001149,0.000307,-5.698930,-570.660808,6.283167
0.020000,9.872670,22.820763,0.001163,0.000690,0.019160,285.904510,6.283182
0.020000,9.888782,22.820763,0.017275,0.805596,40.245306,2011.307323,0.000024
0.020000,9.917315,22.820764,0.045808,1.426664,31.053359,-459.597340,0.000066
0.020000,9.957262,22.820768,0.085755,1.997341,28.533888,-125.973568,0.000125
0.020000,10.008622,22.820776,0.137115,2.568031,28.534505,0.030825,0.000201
0.020000,10.070256,22.820792,0.198749,3.081669,25.681883,-142.631081,0.000291
0.020000,10.139880,22.820815,0.268373,3.481186,19.975840,-285.302147,0.000392
0.020000,10.215211,22.820849,0.343704,3.766578,14.269614,-285.311274,0.000499
0.020000,10.293968,22.820893,0.422461,3.937841,8.563138,-285.323806,0.000611
0.020000,10.373867,22.820946,0.502360,3.994968,2.856363,-285.338779,0.000723
0.020000,10.453768,22.821008,0.582261,3.995026,0.002875,-142.674377,0.000833
0.020000,10.533669,22.821079,0.662162,3.995083,0.002876,0.000029,0.000942
0.020000,10.613572,22.821159,0.742065,3.995141,0.002875,-0.000032,0.001050
0.020000,10.693476,22.821247,0.821969,3.995198,0.002876,0.000026,0.001157
0.020000,10.773381,22.821344,0.901874,3.995256,0.002875,-0.000013,0.001262
0.020000,10.853287,22.821449,0.981781,3.995313,0.002875,-0.000000,0.001367
0.020000,10.933195,22.821562,1.061688,3.995371,0.002876,0.000014,0.001470
0.020000,11.013103,22.821683,1.141597,3.995428,0.002875,-0.000018,0.001571
0.020000,11.093013,22.821813,1.221506,3.995486,0.002876,0.000018,0.001671
0.020000,11.172923,22.821950,1.301417,3.995543,0.002875,-0.000012,0.001770
0.020000,11.252835,22.822096,1.381329,3.995601,0.002876,0.000003,0.001868
0.020000,11.332748,22.822249,1.461242,3.995658,0.002876,0.000005,0.001965
0.020000,11.412663,22.822410,1.541157,3.995716,0.002876,-0.000008,0.002060
0.020000,11.492578,22.822578,1.621072,3.995773,0.002876,0.000010,0.002154
0.020000,11.572494,22.822754,1.700989,3.995831,0.002876,-0.000007,0.002246
0.020000,11.652412,22.822937,1.780907,3.995888,0.002876,0.000003,0.002338
0.020000,11.732331,22.823128,1.860825,3.995946,0.002876,0.000001,0.002428
0.020000,11.812250,22.823325,1.940746,3.996003,0.002876,-0.000001,0.002517
0.020000,11.892171,22.823530,2.020667,3.996061,0.002876,0.000001,0.002604
0.020000,11.972093,22.823742,2.100589,3.996118,0.002876,-0.000000,0.002691
0.020000,12.052017,22.823960,2.180513,3.996176,0.002876,-0.000000,0.002776
0.020000,12.131941,22.824185,2.260437,3.996233,0.002876,0.000000,0.002859
0.020000,12.211866,22.824417,2.340363,3.996291,0.002876,0.000002,0.002942
0.020000,12.291793,22.824655,2.420290,3.996349,0.002876,-0.000005,0.003023
0.020000,12.371721,22.824900,2.500218,3.996406,0.002876,0.000007,0.003103
0.020000,12.451650,22.825151,2.580148,3.996464,0.002876,-0.000005,0.003181
0.020000,12.531580,22.825409,2.660078,3.996521,0.002876,0.000002,0.003259
0.020000,12.611511,22.825672,2.740010,3.996579,0.002876,0.000003,0.003335
0.020000,12.691443,22.825942,2.819942,3.996636,0.002876,-0.000008,0.003409
0.020000,12.771376,22.826217,2.899876,3.996694,0.002876,0.000011,0.003483
0.020000,12.851311,22.826498,2.979811,3.996751,0.002876,-0.000010,0.003555
0.020000,12.931247,22.826786,3.059747,3.996809,0.002876,0.000006,0.003626
0.020000,13.011183,22.827078,3.139685,3.996866,0.002876,0.000000,0.003696
0.020000,13.091121,22.827376,3.219623,3.996924,0.002876,-0.000007,0.003764
0.020000,13.171060,22.827680,3.299563,3.996981,0.002876,0.000012,0.003831
0.020000,13.251001,22.827989,3.379503,3.997039,0.002876,-0.000014,0.003897
0.020000,13.330942,22.828303,3.459445,3.997096,0.002876,0.000011,0.003961
0.020000,13.410884,22.828622,3.539388,3.997154,0.002876,-0.000003,0.004025
0.020000,13.490828,22.828946,3.619333,3.997211,0.002876,-0.000005,0.004087
0.020000,13.570773,22.829275,3.699278,3.997269,0.002876,0.000012,0.004147
0.020000,13.650718,22.829609,3.779225,3.997326,0.002875,-0.000018,0.004207
0.020000,13.730665,22.829948,3.859172,3.997384,0.002876,0.000017,0.004265
0.020000,13.810613,22.830291,3.939121,3.997441,0.002876,-0.000008,0.004322
0.020000,13.890563,22.830639,4.019071,3.997499,0.002876,-0.000001,0.004377
0.020000,13.970513,22.830991,4.099022,3.997556,0.002876,0.000011,0.004432
0.020000,14.050465,22.831348,4.178974,3.997614,0.002875,-0.000020,0.004485
0.020000,14.130417,22.831708,4.258928,3.997671,0.002876,0.000021,0.004536
0.020000,14.210371,22.832073,4.338882,3.997729,0.002876,-0.000012,0.004587
0.020000,14.290326,22.832442,4.418838,3.997786,0.002876,0.000003,0.004636
0.020000,14.370282,22.832814,4.498795,3.997844,0.002876,0.000007,0.004684
0.020000,14.450239,22.833191,4.578753,3.997901,0.002875,-0.000016,0.004731
0.020000,14.530197,22.833571,4.658712,3.997959,0.002876,0.000019,0.004776
0.020000,14.610157,22.833954,4.738673,3.998016,0.002876,-0.000014,0.004820
0.020000,14.690117,22.834342,4.818634,3.998074,0.002876,0.000007,0.004863
0.020000,14.770079,22.834732,4.898597,3.998131,0.002876,0.000002,0.004904
0.020000,14.850042,22.835126,4.978561,3.998189,0.002875,-0.000012,0.004945
0.020000,14.930006,22.835523,5.058525,3.998246,0.002876,0.000016,0.004984
0.020000,15.009971,22.835923,5.138492,3.998304,0.002875,-0.000015,0.005021
0.020000,15.089937,22.836326,5.218459,3.998361,0.002876,0.000010,0.005058
