dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,9.872644,21.020763,0.001143,0.114286,5.714286,285.714286,6.283160
0.020000,9.872650,21.020763,0.001149,0.000307,-5.698930,-570.660808,6.283167
0.020000,9.872664,21.020763,0.001163,0.000690,0.019160,285.904510,6.283182
0.020000,9.888825,21.020763,0.017324,0.808046,40.367792,2017.431593,0.000024
0.020000,9.917435,21.020764,0.045933,1.430479,31.121656,-462.306783,0.000066
0.020000,9.957488,21.020768,0.085986,2.002659,28.608969,-125.634372,0.000125
0.020000,10.008984,21.020776,0.137483,2.574826,28.608353,-0.030790,0.000201
0.020000,10.070779,21.020792,0.199278,3.089759,25.746688,-143.083239,0.000291
0.020000,10.140584,21.020816,0.269083,3.490243,20.024161,-286.126363,0.000392
0.020000,10.216110,21.020849,0.344609,3.776279,14.301814,-286.117359,0.000499
0.020000,10.295067,21.020893,0.423566,3.947873,8.579719,-286.104716,0.000611
0.020000,10.375168,21.020946,0.503667,4.005032,2.857923,-286.089821,0.000723
0.020000,10.455267,21.021009,0.583766,4.004974,-0.002876,-143.039923,0.000833
0.020000,10.535366,21.021080,0.663865,4.004917,-0.002875,0.000028,0.000942
0.020000,10.615463,21.021160,0.743962,4.004859,-0.002876,-0.000034,0.001050
0.020000,10.695559,21.021248,0.824058,4.004802,-0.002875,0.000024,0.001157
0.020000,10.775654,21.021345,0.904153,4.004744,-0.002876,-0.000014,0.001262
0.020000,10.855747,21.021450,0.984246,4.004687,-0.002876,-0.000002,0.001367
0.020000,10.935840,21.021564,1.064339,4.004629,-0.002875,0.000013,0.001470
0.020000,11.015931,21.021686,1.144430,4.004572,-0.002876,-0.000019,0.001571
0.020000,11.096021,21.021815,1.224521,4.004514,-0.002875,0.000017,0.001671
0.020000,11.176110,21.021953,1.304610,4.004457,-0.002876,-0.000012,0.001770
0.020000,11.256198,21.022099,1.384698,4.004399,-0.002876,0.000003,0.001868
0.020000,11.336285,21.022253,1.464785,4.004342,-0.002876,0.000004,0.001965
0.020000,11.416370,21.022414,1.544870,4.004284,-0.002876,-0.000009,0.002060
0.020000,11.496455,21.022582,1.624955,4.004227,-0.002876,0.000009,0.002154
0.020000,11.576538,21.022759,1.705038,4.004169,-0.002876,-0.000008,0.002246
0.020000,11.656620,21.022942,1.785120,4.004112,-0.002876,0.000003,0.002338
0.020000,11.736701,21.023133,1.865202,4.004054,-0.002876,-0.000000,0.002428
0.020000,11.816780,21.023331,1.945281,4.003997,-0.002876,-0.000002,0.002517
0.020000,11.896859,21.023536,2.025360,4.003939,-0.002876,0.000001,0.002604
0.020000,11.976936,21.023748,2.105438,4.003882,-0.002876,-0.000001,0.002691
0.020000,12.057013,21.023967,2.185514,4.003824,-0.002876,-0.000000,0.002776
0.020000,12.137088,21.024193,2.265590,4.003767,-0.002876,-0.000000,0.002859
0.020000,12.217161,21.024425,2.345664,4.003709,-0.002876,0.000002,0.002942
0.020000,12.297234,21.024664,2.425737,4.003651,-0.002876,-0.000005,0.003023
0.020000,12.377306,21.024909,2.505809,4.003594,-0.002876,0.000006,0.003103
0.020000,12.457376,21.025160,2.585880,4.003536,-0.002876,-0.000005,0.003181
0.020000,12.537445,21.025418,2.665949,4.003479,-0.002876,0.000002,0.003259
0.020000,12.617513,21.025682,2.746018,4.003421,-0.002876,0.000002,0.003335
0.020000,12.697580,21.025952,2.826085,4.003364,-0.002876,-0.000008,0.003409
0.020000,12.777646,21.026228,2.906151,4.003306,-0.002876,0.000010,0.003483
0.020000,12.857710,21.026510,2.986216,4.003249,-0.002876,-0.000010,0.003555
0.020000,12.937773,21.026797,3.066280,4.003191,-0.002876,0.000006,0.003626
0.020000,13.017835,21.027090,3.146342,4.003134,-0.002876,0.000000,0.003696
