dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,0.000000,0.001143,0.114286,5.714286,285.714286,6.282243
0.020000,0.000000,0.000000,0.005714,0.342857,11.428571,285.714286,6.282472
0.020000,0.000000,0.000000,0.016000,0.685714,17.142857,285.714286,6.282985
0.020000,0.014288,0.000005,0.034286,1.142857,22.857143,285.714286,0.000715
0.020000,0.042858,0.000046,0.062857,1.714286,28.571429,285.714286,0.002150
0.020000,0.082858,0.000172,0.102857,2.285714,28.571429,0.000000,0.004169
0.020000,0.134287,0.000454,0.154286,2.857143,28.571429,0.000000,0.006783
0.020000,0.195998,0.000970,0.216000,3.314286,22.857143,-285.714286,0.009946
0.020000,0.265709,0.001789,0.285714,3.657143,17.142857,-285.714286,0.013555
0.020000,0.341127,0.002960,0.361143,3.885714,11.428571,-285.714286,0.017504
0.020000,0.419969,0.004504,0.440000,4.000000,5.714286,-285.714286,0.021681
0.020000,0.499947,0.006410,0.520000,4.000000,0.000000,-285.714286,0.025970
0.020000,0.579915,0.008661,0.600000,4.000000,0.000000,0.000000,0.030312
0.020000,0.659873,0.011261,0.680000,4.000000,0.000000,0.000000,0.034708
0.020000,0.739818,0.014214,0.760000,4.000000,0.000000,0.000000,0.039159
0.020000,0.819749,0.017526,0.840000,4.000000,0.000000,0.000000,0.043665
0.020000,0.899663,0.021200,0.920000,4.000000,0.000000,0.000000,0.048228
0.020000,0.979563,0.025241,1.000000,4.000000,0.000000,0.000000,0.052848
0.020000,1.059441,0.029653,1.080000,4.000000,0.000000,0.000000,0.057527
0.020000,1.139297,0.034442,1.160000,4.000000,0.000000,0.000000,0.062265
0.020000,1.219129,0.039611,1.240000,4.000000,0.000000,0.000000,0.067063
0.020000,1.298937,0.045165,1.320000,4.000000,0.000000,0.000000,0.071923
0.020000,1.378716,0.051110,1.400000,4.000000,0.000000,0.000000,0.076844
0.020000,1.458464,0.057450,1.480000,4.000000,0.000000,0.000000,0.081829
0.020000,1.538178,0.064190,1.560000,4.000000,0.000000,0.000000,0.086877
0.020000,1.617860,0.071334,1.640000,4.000000,0.000000,0.000000,0.091991
0.020000,1.697501,0.078889,1.720000,4.000000,0.000000,0.000000,0.097170
0.020000,1.777103,0.086859,1.800000,4.000000,0.000000,0.000000,0.102417
0.020000,1.856663,0.095249,1.880000,4.000000,0.000000,0.000000,0.107732
0.020000,1.936174,0.104064,1.960000,4.000000,0.000000,0.000000,0.113116
0.020000,2.015639,0.113311,2.040000,4.000000,0.000000,0.000000,0.118570
0.020000,2.095050,0.122993,2.120000,4.000000,0.000000,0.000000,0.124095
0.020000,2.174408,0.133117,2.200000,4.000000,0.000000,0.000000,0.129692
0.020000,2.253705,0.143687,2.280000,4.000000,0.000000,0.000000,0.135362
0.020000,2.332943,0.154711,2.360000,4.000000,0.000000,0.000000,0.141107
