Match,Team1,Team2,Team3,Score
'Quals 1',4911,5920,3712,150
'Quals 2',2605,1595,4980,35
'Quals 3',3693,6442,3663,53
'Quals 4',4089,4060,6443,106
'Quals 5',4980,4104,6076,25
'Quals 6',2910,4089,3876,173
'Quals 7',3663,6443,4911,178
'Quals 8',2147,4060,4061,74
'Quals 9',6442,4089,3711,110
'Quals 10',6076,4060,3693,35
'Quals 11',2944,2811,2147,63
'Quals 12',4125,1595,3712,77
'Quals 13',2605,2147,6443,99
'Quals 14',2944,3712,4104,20
'Quals 15',4125,6442,4980,63
'Quals 16',5920,1595,3876,68
'Quals 17',4692,6076,4513,70
'Quals 18',4061,4089,2944,106
'Quals 19',3876,4125,4104,35
'Quals 20',3693,5920,2811,169
'Quals 21',4980,4089,4692,62
'Quals 22',3876,2147,6443,61
'Quals 23',4513,5920,2944,109
'Quals 24',2910,3712,4060,131
'Quals 25',6076,5920,6443,92
'Quals 26',4061,2605,2910,107
'Quals 27',6442,4104,2944,42
'Quals 28',1595,4980,2811,103
'Quals 29',4513,2944,3711,121
'Quals 30',4060,4692,3876,24
'Quals 31',4980,3693,2605,71
'Quals 32',6442,4911,6076,144
'Quals 33',4692,4061,5920,97
'Quals 34',3712,3663,2605,125
'Quals 35',3711,6076,1595,60
'Quals 36',2147,4125,4513,148
'Quals 37',4104,4911,4060,133
'Quals 38',1595,2910,4089,197
'Quals 39',2811,2605,3663,149
'Quals 40',4125,4061,3693,47
'Quals 41',3712,4104,4089,87
'Quals 42',4061,4125,4911,196
'Quals 43',4692,2147,1595,123
'Quals 44',2811,3711,2910,230
'Quals 45',2605,3876,4513,109
'Quals 46',2811,6443,4125,127
'Quals 47',3711,3663,4104,193
'Quals 48',3693,4692,6442,76
'Quarters 2 Match 1',2147,1595,3693,100
'Quarters 2 Match 2',2147,1595,3693,92
'Quarters 3 Match 1',3663,4089,4104,134
'Quarters 3 Match 2',3663,4089,4104,120
'Quarters 3 Match 3',3663,4089,4104,115
'Quarters 4 Match 1',3711,2811,3712,168
'Quarters 4 Match 2',3711,2811,3712,139
'Semis 1 Match 1',2910,4911,6076,225
'Semis 1 Match 2',2910,4911,6076,210
'Semis 2 Match 1',3663,4089,4104,114
'Semis 2 Match 2',3663,4089,4104,102
'Finals 1',2910,4911,6076,184
'Finals 2',2910,4911,6076,214
'Quals 1',4125,3711,2147,125
'Quals 2',2944,2910,6076,139
'Quals 3',4513,4692,4104,69
'Quals 4',3876,2811,4061,68
'Quals 5',5920,2605,3711,129
'Quals 6',2811,3712,6442,17
'Quals 7',4692,2944,4125,38
'Quals 8',1595,4513,3693,81
'Quals 9',4911,2605,4692,74
'Quals 10',3663,4513,2910,179
'Quals 11',6443,3876,4980,73
'Quals 12',4104,5920,4061,55
'Quals 13',4060,4513,2811,100
'Quals 14',6076,4061,3711,98
'Quals 15',2910,4911,4692,155
'Quals 16',4089,3693,3663,149
'Quals 17',6443,3711,3712,130
'Quals 18',2910,4980,2147,152
'Quals 19',3663,4060,1595,116
'Quals 20',6442,4911,2605,131
'Quals 21',6076,3663,4125,105
'Quals 22',3711,3693,4911,112
'Quals 23',6442,2811,4061,115
'Quals 24',2605,4104,1595,45
'Quals 25',4911,3876,4513,159
'Quals 26',4089,4692,3663,147
'Quals 27',4060,3711,4125,61
'Quals 28',2147,3693,3712,29
'Quals 29',4089,4125,5920,141
'Quals 30',4104,2910,2811,153
'Quals 31',6443,4061,1595,104
'Quals 32',3712,3663,2147,135
'Quals 33',4104,6443,3693,48
'Quals 34',4980,2944,4060,44
'Quals 35',4911,2811,4089,228
'Quals 36',3876,6442,2910,55
'Quals 37',2944,6443,4692,46
'Quals 38',3712,4513,6076,86
'Quals 39',5920,2147,6442,117
'Quals 40',3711,4980,3876,84
'Quals 41',6443,6442,4513,97
'Quals 42',4060,6076,2605,74
'Quals 43',3693,3876,2944,21
'Quals 44',3663,4980,5920,91
'Quals 45',1595,2944,4911,126
'Quals 46',4061,3712,4980,87
'Quals 47',2147,6076,4089,126
'Quals 48',5920,2910,4060,176
'Quarters 2 Match 1',4125,4513,4060,89
'Quarters 2 Match 2',4125,4513,4060,71
'Quarters 3 Match 1',4692,5920,4061,85
'Quarters 3 Match 2',4692,5920,4061,143
'Quarters 3 Match 3',4692,5920,4061,93
'Quarters 4 Match 1',4980,6443,2605,78
'Quarters 4 Match 2',4980,6443,2605,70
'Semis 1 Match 1',2147,1595,3693,104
'Semis 1 Match 2',2147,1595,3693,83
'Semis 2 Match 1',3711,2811,3712,99
'Semis 2 Match 2',3711,2811,3712,79
'Finals 1',3663,4089,4104,125
'Finals 2',3663,4089,4104,121
